sample_id,source_file,mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,curve_rmse_uW,curve_mae_uW,area_error_J_g,tp_error_C,peak_height_error_uW,actual_area_J_g,pred_area_J_g,actual_tp_C,pred_tp_C,actual_peak_height_uW,pred_peak_height_uW,actual_width_C,pred_width_C,n_points_fit
onestep_50_001,PS-onestep-01.xlsx,single_step,50.0,0.1002,nan,nan,0.1002,38.04876346749244,33.35898963851851,0.006745389598641859,-0.4066569294699889,-0.13681753116482298,3.8587097400060273,3.865455129604668,89.574577331543,89.16792040207301,88.30762579026884,88.17080825910402,9.295852255123059,9.097540435346023,3581
onestep_50_002,PS-onestep-01.xlsx,single_step,50.0,0.4998,nan,nan,0.4998,37.0263007956904,32.76583221860131,-0.13236364409015305,-1.0999550494840094,-1.7735606276241072,3.8822594865477154,3.7498958424575624,90.2350006103516,89.1350455608676,87.35488208771744,85.58132146009333,9.696249702854375,9.078927001108744,3580
onestep_50_003,PS-onestep-01.xlsx,single_step,50.0,0.7979999999999999,nan,nan,0.7979999999999999,36.47490255100717,32.276984362445226,-0.1451469305117553,0.7164011879346361,-3.686813931235676,3.868263500000234,3.7231165694884796,88.5074005126953,89.22380170062993,88.54719409606281,84.86038016482713,8.781653609746883,9.126255876356135,3581
onestep_50_004,PS-onestep-01.xlsx,single_step,50.0,1.0002,nan,nan,1.0002,36.1261426887955,32.050836221711954,-0.19949702834377706,0.47599994568790294,-4.483118636915577,3.9083178539883177,3.7088208256445405,88.731559753418,89.2075596991059,89.02695782783326,84.54383919091768,8.876622688431397,9.119144051451933,3581
onestep_50_005,PS-onestep-01.xlsx,single_step,50.0,4.998,nan,nan,4.998,35.44444622932265,31.54007914735138,-0.2799905018104838,-0.2385138517147567,-6.742536463935366,3.9307499979947402,3.650759496184256,89.3824462890625,89.14393243734774,89.82463737097129,83.08210090703592,9.208458565369416,9.090574114587415,3581
onestep_50_006,PS-onestep-01.xlsx,single_step,50.0,10.020000000000001,nan,nan,10.020000000000001,35.69811522732319,31.767690451161716,-0.2640722812727991,-0.23471884926662767,-5.9022148521811175,3.9241292533020733,3.660056972029274,89.3627471923828,89.12802834311617,89.14421973559035,83.24200488340924,9.21264542279739,9.084549016208559,3582
onestep_50_007,PS-onestep-01.xlsx,single_step,50.0,49.98,nan,nan,49.98,37.305017735960455,32.982699745249974,-0.11684928232460251,-0.2928003370254544,-3.655330277733711,3.9503161915444163,3.8334669092198133,89.3784027099609,89.08560237293544,90.47884096051882,86.82351068278511,9.187732061267196,9.077050826985559,3582
onestep_50_008,PS-onestep-01.xlsx,single_step,50.0,100.02,nan,nan,100.02,39.0620075689438,34.21432911755043,0.03314082620020633,0.2954991699034224,-0.3942318986458275,3.9392398963366793,3.9723807225368857,88.7990493774414,89.09454854734483,90.19086692044556,89.79663502179973,8.901183078831242,9.088610783531992,3583
onestep_50_009,PS-onestep-01.xlsx,single_step,50.0,499.98,nan,nan,499.98,42.108226340319554,36.17015986790262,0.3247077573367098,-0.4263474936335854,5.250481999863069,3.881314763998038,4.206022521334748,89.4284286499023,89.00208115626872,89.40829931505385,94.65878131491692,9.201993336144161,9.058645642367711,3583
onestep_50_010,PS-onestep-01.xlsx,single_step,50.0,1000.0200000000001,nan,nan,1000.0200000000001,41.70386528740764,35.873007041322865,0.32595534715211294,-0.3418599535092426,4.698088696816626,3.862131671385001,4.188087018537114,89.3357009887695,88.99384103526026,89.43601559260202,94.13410428941864,9.117817849267206,9.060231454689333,3583
onestep_50_011,PS-onestep-01.xlsx,single_step,50.0,0.1002,nan,nan,0.1002,38.12186531101192,33.567278745578356,-0.06109918403429978,0.19149943606713293,-1.4407283091355083,3.917495380766655,3.856396196732354,89.0562896728516,89.24778910891874,89.43743214725725,87.99670383812175,9.03359151952748,9.137750187745132,3581
onestep_50_012,PS-onestep-01.xlsx,single_step,50.0,0.4998,nan,nan,0.4998,36.6477407222829,32.45249451377684,-0.1679721150922167,0.28664048099733463,-3.769109464475619,3.915859738480056,3.747887623387839,88.9266052246094,89.21324570560674,89.23788750116569,85.46877803669007,8.97671894086487,9.120862831065324,3581
onestep_50_013,PS-onestep-01.xlsx,single_step,50.0,0.7979999999999999,nan,nan,0.7979999999999999,36.29465895500686,32.180882032317776,-0.1885209518632208,0.04210044927643253,-4.327537569084413,3.909562138090315,3.7210411862270933,89.1494369506836,89.19153739996003,89.15726004823392,84.82972247914951,9.08514815398973,9.110686889405233,3582
onestep_50_014,PS-onestep-01.xlsx,single_step,50.0,1.0002,nan,nan,1.0002,36.15897350142895,32.04896994628824,-0.18513141370774622,-0.005502859825327278,-3.698008606412273,3.894608597378257,3.7094771836705114,89.1910629272461,89.18556006742077,88.27771909715568,84.57971049074341,9.10413146780995,9.108101706098372,3581
onestep_50_015,PS-onestep-01.xlsx,single_step,50.0,4.998,nan,nan,4.998,35.43969032310944,31.570711550059205,-0.30623718650019327,-0.3381096336543976,-6.782587387937582,3.9555305233860634,3.6492933368858704,89.4764785766602,89.1383689430058,89.86245102061577,83.07986363267818,9.257529216360078,9.08771603726159,3582
onestep_50_016,PS-onestep-01.xlsx,single_step,50.0,10.020000000000001,nan,nan,10.020000000000001,35.528331951517885,31.566974803877734,-0.25609271123290145,-0.41423288073303866,-5.510731077578555,3.9166560993656456,3.6605633881327435,89.5308685302734,89.11663564954036,88.77758112015198,83.26685004257342,9.287005637016929,9.079601376211206,3582
onestep_50_017,PS-onestep-01.xlsx,single_step,50.0,49.98,nan,nan,49.98,37.64014434578353,33.23961043163303,-0.10933527288841476,0.20229318906490334,-2.6471634134828435,3.943206975483197,3.833871702594783,88.9099807739258,89.1122739629907,89.52498588160432,86.87782246812148,8.975987249654594,9.08910958093332,3582
onestep_50_018,PS-onestep-01.xlsx,single_step,50.0,100.02,nan,nan,100.02,39.22028153940339,34.46768635285451,-0.013851096226646762,-0.48732895306824275,-0.08958777063000412,3.9838797013011127,3.970028605074465,89.5426940917969,89.05536513872866,89.90147134444305,89.81188357381305,9.304618352800716,9.067408027672954,3583
onestep_50_019,PS-onestep-01.xlsx,single_step,50.0,499.98,nan,nan,499.98,42.03670189180934,36.245969520294516,0.29761464796713105,-0.26985653177396784,4.589528491158518,3.906296354579909,4.203911002547041,89.2841339111328,89.01427737935883,90.01774098979388,94.6072694809524,9.12506616451826,9.065075653815626,3583
onestep_50_020,PS-onestep-01.xlsx,single_step,50.0,1000.0200000000001,nan,nan,1000.0200000000001,41.788683445408296,35.73337555086931,0.38865549219303563,-0.002573428123383792,5.376770212160423,3.804759532268507,4.193415024461542,89.0252456665039,89.02267223838052,88.8150057003811,94.19177591254153,8.940279989903216,9.076791537714172,3582
