group,rmse,mae,offset,amplitude,tau,beta
single T=50,0.14319470509514995,0.12882083320376464,-9.908076558877783,2.438960013134504,322.7121178947321,0.25
single T=70,1.5233409849838775,0.9894341863563192,-6.17020998365552,3.261946357598961,78.09352578780569,0.95
single T=80,0.06498221500754828,0.061230813107370885,4.927129832012287,-0.7910661496006804,3000.0000000000073,0.95
single T=90,1.9011242931997627,1.6763926863552239,33.14291076648164,-29.159519484394895,16.666666666666657,0.95
single T=100,0.10477504506187096,0.09629513100690312,2.3571659065455597,-3.1584114348299543,899.9999999999998,0.95
