sample_id,source_file,actual_T1_C,pred_T1_C,abs_error_T1_C,actual_t1_s,pred_t1_s,abs_log_error_t1,actual_T2_C,pred_T2_C,abs_error_T2_C,actual_t2_s,pred_t2_s,abs_log_error_t2,target_loss,loss_flatness_ratio,posterior_contains_actual_T1,posterior_contains_actual_T2,posterior_contains_actual_t1,posterior_contains_actual_t2,posterior_width_T1_C,posterior_width_T2_C,posterior_width_log10_t1_s,posterior_width_log10_t2_s,posterior_confidence_T1,posterior_confidence_T2,posterior_confidence_t1,posterior_confidence_t2,overall_posterior_confidence,actual_delta_h_total_J_g,reconstructed_pred_delta_h_total_J_g,actual_peak_area_J_g,reconstructed_pred_peak_area_J_g,actual_recovery_index,reconstructed_pred_recovery_index,actual_path_dependence_index,reconstructed_pred_path_dependence_index
kovacs_eig_01_002,ps-kovacs-01.xlsx,65.0,50.0,15.0,10.000020000000001,1800.0,2.255271636515211,100.0,50.0,50.0,1200.0,10.0,2.0791812460476247,7.06783427780193,0.3152755857737763,True,False,True,True,40.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,1.2303076562601445,2.0544053125847257,1.2303254492311966,1.510131960345329,0.37026319797742835,0.6934567522145223,0.5971299444323285,-1.2121906645964666
kovacs_eig_01_003,ps-kovacs-01.xlsx,50.0,55.0,5.0,10.000020000000001,1800.0,2.255271636515211,80.0,50.0,30.0,1800.0,60.0,1.4771212547196624,5.263695161067702,0.4151488090933318,True,False,False,True,30.0,10.0,1.7781512503836436,2.255272505103306,low,medium,low,low,low,0.8441272091467911,2.0567224587158743,0.9374855706187569,1.5178416966376287,0.3069448156092588,0.7501540966862092,-1.4253751428440997,-1.44583974458949
kovacs_eig_01_004,ps-kovacs-01.xlsx,50.0,50.0,0.0,10.000020000000001,1800.0,2.255271636515211,100.0,50.0,50.0,10.000020000000001,10.0,8.685880952263858e-07,5.439393157654539,0.4144383172596832,True,False,True,True,35.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,1.3779584550036654,2.0544053125847257,1.3779584550036654,1.510131960345329,0.5010586074056621,0.6934567522145223,0.274455099723355,-1.2121906645964666
kovacs_eig_01_005,ps-kovacs-01.xlsx,50.0,50.0,0.0,1800.0,1800.0,0.0,100.0,50.0,50.0,10.000020000000001,10.0,8.685880952263858e-07,5.363066922635926,0.4200820985204183,True,False,True,True,35.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,1.3996253851165805,2.0544053125847257,1.3996253851165805,1.510131960345329,0.5089372207192284,0.6934567522145223,0.2961220298362701,-1.2121906645964666
kovacs_eig_01_006,ps-kovacs-01.xlsx,55.0,55.0,0.0,600.0,1800.0,0.4771212547196626,90.0,50.0,40.0,300.0,10.0,1.4771212547196626,6.952304540366705,0.30427891199391793,True,False,True,True,45.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,1.2530023118903817,2.0385852739789048,1.2533055981691765,1.5027191192184104,1.0,0.7388072122779694,0.6589688796518929,-1.2271872897811926
kovacs_eig_01_007,ps-kovacs-01.xlsx,50.0,50.0,0.0,10.000020000000001,1800.0,2.255271636515211,70.0,50.0,20.0,1800.0,10.0,2.255272505103306,15.106840257832332,0.14034185268447122,True,False,True,True,50.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,1.3316247499242242,2.0544053125847257,0.8957824304145665,1.510131960345329,0.4842105655370938,0.6934567522145223,4.2671395987115925,-1.2121906645964666
kovacs_eig_01_008,ps-kovacs-01.xlsx,50.0,85.0,35.0,10.000020000000001,10.0,8.685880952263858e-07,100.0,50.0,50.0,1800.0,1800.0,0.0,5.7232973830220555,0.31579994832318387,True,False,True,True,50.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,1.7089140086299428,3.0089857345839723,1.7066768154989458,2.0567243532097983,0.6214019517285585,0.853434574291299,1.075736296802127,0.49432276739959136
kovacs_eig_01_009,ps-kovacs-01.xlsx,50.0,55.0,5.0,10.000020000000001,1800.0,2.255271636515211,85.0,50.0,35.0,60.0,10.0,0.7781512503836436,1.4755409768182215,1.602687088940093,True,False,False,True,30.0,10.0,1.7781512503836436,2.255272505103306,low,medium,low,low,low,1.9870704529999415,2.0385852739789048,1.4108200387718208,1.5027191192184104,0.7225462787950602,0.7388072122779694,-0.7040330494054372,-1.2271872897811926
kovacs_eig_01_010,ps-kovacs-01.xlsx,75.0,90.0,15.0,10.000020000000001,10.0,8.685880952263858e-07,100.0,50.0,50.0,1800.0,1800.0,0.0,4.919913050221531,0.5169448679527335,True,False,True,True,50.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,1.8957033071638894,3.1914116537911124,1.8862715943774415,2.180610232894894,1.0,0.9297163961260297,1.2625255953360734,0.8652505965025253
kovacs_eig_03_001,ps-kovacs-03.xlsx,50.0,50.0,0.0,10.000020000000001,1800.0,2.255271636515211,65.0,50.0,15.0,1200.0,10.0,2.0791812460476247,18.224879383421253,0.11695665605215218,True,False,True,True,50.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,0.1645180367063862,2.0544053125847257,0.12600981758349775,1.510131960345329,0.05982268773480272,0.6934567522145223,3.100032885493755,-1.2121906645964666
kovacs_eig_03_002,ps-kovacs-03.xlsx,50.0,50.0,0.0,10.000020000000001,1800.0,2.255271636515211,75.0,50.0,25.0,10.000020000000001,10.0,8.685880952263858e-07,18.391801243673036,0.1152753839552223,True,False,True,True,50.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,0.4474300555711486,2.0544053125847257,0.35315295867567376,1.510131960345329,0.1626962552766668,0.6934567522145223,3.8745204243964277,-1.2121906645964666
kovacs_eig_03_003,ps-kovacs-03.xlsx,65.0,50.0,15.0,10.000020000000001,1800.0,2.255271636515211,65.0,50.0,15.0,1800.0,10.0,2.255272505103306,18.77756460231796,0.11366847140753208,True,False,True,True,50.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,-0.02989627569365015,2.0544053125847257,-0.028778316361397438,1.510131960345329,0.008997335414130885,0.6934567522145223,2.9056185730937187,-1.2121906645964666
kovacs_eig_03_004,ps-kovacs-03.xlsx,85.0,55.0,30.0,10.000020000000001,1800.0,2.255271636515211,100.0,50.0,50.0,1200.0,10.0,2.0791812460476247,10.11200907741641,0.22145029710293465,False,False,False,True,32.5,10.0,1.7781512503836436,2.255272505103306,low,medium,low,low,low,0.24109098306151994,2.0385852739789048,0.12545543849633242,1.5027191192184104,1.0,0.7388072122779694,-0.3920867287662961,-1.2271872897811926
kovacs_eig_04_001,ps-kovacs-04.xlsx,75.0,50.0,25.0,10.000020000000001,1800.0,2.255271636515211,100.0,50.0,50.0,10.000020000000001,10.0,8.685880952263858e-07,6.8987868182375385,0.3343805218931548,True,False,True,True,32.5,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,0.8755681834169078,2.0544053125847257,0.9040585475509041,1.510131960345329,0.46186984013169324,0.6934567522145223,-0.22793517186340262,-1.2121906645964666
kovacs_eig_04_002,ps-kovacs-04.xlsx,50.0,50.0,0.0,100.0002,1800.0,1.2552716365152108,70.0,50.0,20.0,60.0,10.0,0.7781512503836436,16.313186518140487,0.12996369211097636,True,False,True,True,50.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,1.0830376321258792,2.0544053125847257,0.7992554134453898,1.510131960345329,0.39381835188890024,0.6934567522145223,4.3597350710199265,-1.2121906645964666
kovacs_eig_04_003,ps-kovacs-04.xlsx,65.0,60.0,5.0,10.000020000000001,600.0,1.7781503817955482,85.0,50.0,35.0,600.0,1200.0,0.30102999566398125,6.224970834261077,0.40276059351946886,True,False,True,True,30.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,0.7391587325496957,2.0710269276040605,0.7388505603527478,1.5089959110219897,0.22245108752612974,0.7058794583416398,-1.7608061661899197,-1.839633215114501
kovacs_eig_04_004,ps-kovacs-04.xlsx,50.0,50.0,0.0,10.000020000000001,1800.0,2.255271636515211,70.0,50.0,20.0,300.0,10.0,1.4771212547196626,7.508711879682631,0.2973322864858369,True,False,True,True,40.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,1.2848862769099407,2.0544053125847257,0.9267857292712861,1.510131960345329,0.4672153403793501,0.6934567522145223,0.5875595880844653,-1.2121906645964666
hs_02_001,ps-hs-02.xlsx,50.0,85.0,35.0,10.000020000000001,10.0,8.685880952263858e-07,80.0,55.0,25.0,1800.0,900.0,0.30102999566398125,2.574049880892553,0.6964555870411407,True,False,True,True,50.0,17.5,2.255272505103306,2.255272505103306,low,low,low,low,low,2.2300299026630204,2.9521866103193646,2.3158609361655924,2.0317568289896792,0.8108921378898503,0.7981853754288523,-0.03947244932787042,-0.0573380043887885
hs_02_002,ps-hs-02.xlsx,50.0,100.0,50.0,10.000020000000001,1800.0,2.255271636515211,100.0,50.0,50.0,1800.0,1200.0,0.17609125905568135,3.7590962696052586,0.8405228864796925,False,False,True,True,10.0,25.0,2.255272505103306,2.255272505103306,medium,low,low,low,low,2.7500943694757374,3.9007475663579507,2.7500943694757374,2.91186652337256,1.0,0.8098494480147012,2.1169166576479213,2.039581310760479
hs_02_003,ps-hs-02.xlsx,65.0,100.0,35.0,10.000020000000001,1800.0,2.255271636515211,100.0,50.0,50.0,1200.0,1800.0,0.17609125905568135,3.0357805131492572,1.2332946953493165,False,False,False,True,5.0,20.0,2.0167118777434747,2.255272505103306,high,low,low,low,low,3.322792173191205,4.174092813734709,3.322792173191205,3.0820347983274554,1.0,0.832489178337483,2.689614461363389,2.7023108318563147
