sample_id,source_file,split,mode,T1_C,t1_s,T2_C,t2_s,T1_bin,t1_bin,actual_delta_h_total_J_g,pred_delta_h_total_J_g,error_delta_h_total_J_g,abs_error_delta_h_total_J_g,actual_peak_area_J_g,pred_peak_area_J_g,error_peak_area_J_g,abs_error_peak_area_J_g,actual_recovery_index,pred_recovery_index,error_recovery_index,abs_error_recovery_index,actual_path_dependence_index,pred_path_dependence_index,error_path_dependence_index,abs_error_path_dependence_index
onestep_50_001,PS-onestep-01.xlsx,train,single_step,50.0,0.1002,nan,nan,50-60 C,10-100 s,-0.6722768039574754,-0.6707288591160584,0.0015479448414169594,0.0015479448414169594,-1.5245739477642528,-1.5054144589545853,0.019159488809667558,0.019159488809667558,0.6662688425139833,0.6070869979659016,-0.05918184454808173,0.05918184454808173,0.0,-0.023178317270492764,-0.023178317270492764,0.023178317270492764
onestep_50_002,PS-onestep-01.xlsx,train,single_step,50.0,0.4998,nan,nan,50-60 C,10-100 s,-0.520707019373494,-0.6974135173711881,-0.1767064979976941,0.1767064979976941,-1.4408439811601865,-1.5291398817521795,-0.08829590059199299,0.08829590059199299,0.5160535973346317,0.6192378693958155,0.10318427206118375,0.10318427206118375,0.0,-0.005107429237584754,-0.005107429237584754,0.005107429237584754
onestep_50_003,PS-onestep-01.xlsx,train,single_step,50.0,0.7979999999999999,nan,nan,50-60 C,10-100 s,-0.5073926614203073,-0.7052076386939993,-0.19781497727369202,0.19781497727369202,-1.434883955121484,-1.5360505037493666,-0.10116654862788255,0.10116654862788255,0.5028582263058141,0.6228448638337792,0.11998663752796512,0.11998663752796512,0.0,0.0001297795443908345,0.0001297795443908345,0.0001297795443908345
onestep_50_004,PS-onestep-01.xlsx,train,single_step,50.0,1.0002,nan,nan,50-60 C,10-100 s,-0.5488230812738603,-0.708977151262465,-0.1601540699886047,0.1601540699886047,-1.4558883575622514,-1.5393869732238583,-0.08349861566160688,0.08349861566160688,0.5439183933652761,0.6246067273931607,0.08068833402788456,0.08068833402788456,0.0,0.0026503758333708966,0.0026503758333708966,0.0026503758333708966
onestep_50_005,PS-onestep-01.xlsx,train,single_step,50.0,4.998,nan,nan,50-60 C,10-100 s,-0.5875977367626631,-0.7361274271673426,-0.14852969040467945,0.14852969040467945,-1.4898236223200412,-1.5631884021659979,-0.07336477984595668,0.07336477984595668,0.5823465299294485,0.6379917014422766,0.05564517151282811,0.05564517151282811,0.0,0.020313629653847767,0.020313629653847767,0.020313629653847767
onestep_50_006,PS-onestep-01.xlsx,train,single_step,50.0,10.020000000000001,nan,nan,50-60 C,10-100 s,-0.6046419869025406,-0.7482167898832932,-0.14357480298075265,0.14357480298075265,-1.517511038621254,-1.5735183228027667,-0.056007284181512684,0.056007284181512684,0.5992384600769197,0.6447630247559318,0.045524564679012114,0.045524564679012114,0.0,0.02760478035699264,0.02760478035699264,0.02760478035699264
onestep_50_007,PS-onestep-01.xlsx,train,single_step,50.0,49.98,nan,nan,50-60 C,10-100 s,-0.5609203868021799,-0.7787966291312263,-0.21787624232904634,0.21787624232904634,-1.4938796188107342,-1.597685871928275,-0.10380625311754077,0.10380625311754077,0.5559075884474872,0.6678237425211198,0.11191615407363253,0.11191615407363253,0.0,0.04185118501236097,0.04185118501236097,0.04185118501236097
onestep_50_008,PS-onestep-01.xlsx,train,single_step,50.0,100.02,nan,nan,50-60 C,100-600 s,-0.5663746478041252,-0.7947770284869636,-0.22840238068283847,0.22840238068283847,-1.4644937892936536,-1.6084342989659635,-0.14394050967230987,0.14394050967230987,0.5613131061496346,0.6855633115928883,0.12425020544325371,0.12425020544325371,0.0,0.04527238907415314,0.04527238907415314,0.04527238907415314
onestep_50_009,PS-onestep-01.xlsx,train,single_step,50.0,499.98,nan,nan,50-60 C,100-600 s,-0.8294973064588378,-0.8528789148752574,-0.023381608416419564,0.023381608416419564,-1.6055705790103603,-1.6357537895287295,-0.030183210518369252,0.030183210518369252,0.822084306627,0.7856246089106241,-0.036459697716375916,0.036459697716375916,0.0,0.03255572697086048,0.03255572697086048,0.03255572697086048
onestep_50_010,PS-onestep-01.xlsx,train,single_step,50.0,1000.0200000000001,nan,nan,50-60 C,>600 s,-1.0090173231286377,-0.8999234248928234,0.10909389823581428,0.10909389823581428,-1.7457682772248067,-1.6500218746193094,0.09574640260549727,0.09574640260549727,1.0,0.8903893891229171,-0.1096106108770829,0.1096106108770829,0.0,0.005461764269843947,0.005461764269843947,0.005461764269843947
