mode,T_C,time_s,pred_delta_h_total_J_g,pred_peak_area_J_g,pred_recovery_index,pred_path_dependence_index
single_step,50,1,-0.7217709681955949,-1.5458999303673817,0.6380268215764107,0.001648570091410742
single_step,50,3,-0.7335051288556618,-1.5535777030734352,0.653599695887885,0.010217287186068257
single_step,50,10,-0.746711138509836,-1.562236140319486,0.670834798502378,0.01944875562933026
single_step,50,30,-0.7595008019906623,-1.5706582086058003,0.6869216794029375,0.02753308681373582
single_step,50,60,-0.768319189388724,-1.5765001060465416,0.6974361303730917,0.032290004562229545
single_step,50,100,-0.7754639057076806,-1.5812608134767605,0.7054994588688073,0.03549929757306266
single_step,50,300,-0.7941792800145164,-1.5938613166653364,0.7244722619765624,0.04086432873663821
single_step,50,600,-0.8101828106473143,-1.6047695628991625,0.7384862959821049,0.04232411809241402
single_step,50,900,-0.8220834641707693,-1.6129407675813932,0.7479209541582206,0.04201295455804408
single_step,50,1200,-0.832116156423621,-1.6198586476475596,0.7553891701217239,0.04106310714411412
single_step,50,1800,-0.849194162794007,-1.6316798957110341,0.7673465934184565,0.03837660848502828
single_step,60,1,-0.7221489631832315,-1.5461697039526054,0.6382146140204936,0.00147762198755811
single_step,60,3,-0.7343666109290722,-1.5541925353234112,0.6540276992988396,0.009827685960123074
single_step,60,10,-0.7488353333476352,-1.5637521324121626,0.6718902022317426,0.018488122625478214
single_step,60,30,-0.7643378634244775,-1.5741101816084715,0.6893252450308669,0.02534572175745254
single_step,60,60,-0.7764438167981035,-1.5822979809018458,0.7014738734646799,0.028616212327015604
single_step,60,100,-0.7873641662093495,-1.5897525861100819,0.7114145542309409,0.03011864742753847
single_step,60,300,-0.8211477675151169,-1.61310127178447,0.7378857985997183,0.028674353660972117
single_step,60,600,-0.855218423933152,-1.6368905521850887,0.7609036418587666,0.021975171565857342
single_step,60,900,-0.8827490311448892,-1.65619958559766,0.7781392023796109,0.014610621945838558
single_step,60,1200,-0.9069662939885678,-1.673220732698829,0.7926964700806085,0.007263722466423948
single_step,60,1800,-0.9496074288144608,-1.7032386122888952,0.8174530453474058,-0.006941413339250205
single_step,70,1,-0.7235756761881759,-1.547220778287689,0.6389083944571446,0.0008307426726324313
single_step,70,3,-0.7376164504983582,-1.556586628260531,0.6556082136818527,0.008354269113215636
single_step,70,10,-0.7568373039095111,-1.5696463984105518,0.6757830454079082,0.014860678317707189
single_step,70,30,-0.7825042703035262,-1.5874885250430815,0.6981687722206171,0.017112987254626365
single_step,70,60,-0.8068457176248861,-1.6046807330924375,0.7162855482366354,0.01484349111217425
single_step,70,100,-0.8317079131699041,-1.6223893191453689,0.7330384489624481,0.010038258863245782
single_step,70,300,-0.9199835541164958,-1.6857513185289417,0.7862585475218261,-0.016008163385970164
single_step,70,600,-1.0170494911658703,-1.755664412916929,0.8404538005006871,-0.0510419589198314
single_step,70,900,-1.0971053938647795,-1.8133161444403672,0.8839051928295558,-0.08193960037566204
single_step,70,1200,-1.1674721387476399,-1.8639347456086823,0.9216702727582925,-0.10989001451987032
single_step,70,1800,-1.2898023231859297,-1.9517548633573696,0.9869087986903382,-0.15950155816416564
single_step,80,1,-0.7273504277539262,-1.550179249345482,0.6407064823031083,-0.0008670685003932116
single_step,80,3,-0.7461967566671343,-1.5633095517375895,0.6596988076824211,0.00449641015937028
single_step,80,10,-0.7778493257268846,-1.586097749724108,0.6858220330146206,0.005422216850792007
single_step,80,30,-0.829655314687131,-1.624347156500707,0.7207999933604062,-0.004024255826317359
single_step,80,60,-0.8846639559427593,-1.6653973490870853,0.7538412937342289,-0.01995699854044783
single_step,80,100,-0.9434389269185319,-1.7093791963056726,0.7872946203805163,-0.03979050664869869
single_step,80,300,-1.154366050877207,-1.8667322981682397,0.9027753238114434,-0.11942060240604735
single_step,80,600,-1.375355173558849,-2.0297699172290535,1.0232489348372305,-0.20719537380867045
single_step,80,900,-1.5456399947642714,-2.1538594802399986,1.1175166040411058,-0.27542724548855296
single_step,80,1200,-1.6863315522539417,-2.2553160795134746,1.1967004173544575,-0.33171618522610313
single_step,80,1800,-1.912031635026476,-2.4160108314194457,1.3264950431660332,-0.42142969012951875
single_step,90,1,-0.7332382460686414,-1.5558670401814834,0.6433369950822794,-0.003405519362725179
single_step,90,3,-0.759498544603003,-1.5761261353811962,0.6656903871161742,-0.0012195197552167664
single_step,90,10,-0.8099084008729273,-1.6167840366463333,0.7005621484494504,-0.008237104494703842
single_step,90,30,-0.8991861724094816,-1.6900149713787742,0.754095979867353,-0.033128775897829754
single_step,90,60,-0.9948009273092566,-1.767877303797269,0.8089523807864905,-0.06512117765751002
single_step,90,100,-1.0943074237837396,-1.8476027104164063,0.8662365114573615,-0.10027813296214821
single_step,90,300,-1.4161795554699406,-2.095415528492329,1.0600273383502337,-0.2160128306075704
single_step,90,600,-1.6900561246657269,-2.2951331649383464,1.236740635650083,-0.31243579104551544
single_step,90,900,-1.858856668405314,-2.4138564102357853,1.3507685244528784,-0.3702163662321211
single_step,90,1200,-1.9727451427664864,-2.4923160538742737,1.4297689197031012,-0.4083238116491477
single_step,90,1800,-2.1121867412002135,-2.5867969062762484,1.5287455191079307,-0.4536789832359915
single_step,95,1,-0.7332364496625302,-1.5580810045370166,0.6430199416266853,-0.0031557768236025463
single_step,95,3,-0.7595348683160996,-1.5810133711709504,0.6651260068782564,-0.0006321771889616426
single_step,95,10,-0.8101870440476183,-1.6278599203397432,0.7000593991574156,-0.0066704793826985395
single_step,95,30,-0.9001024429837872,-1.7109270659622997,0.7560987295111365,-0.02897532135454519
single_step,95,60,-0.9955166093925221,-1.7954172422111856,0.815990704906326,-0.056966362929281665
single_step,95,100,-1.0922846478117898,-1.8770786566287967,0.8791152613308486,-0.08644376958685242
single_step,95,300,-1.3721328048457315,-2.095224301378065,1.075128213391818,-0.1711878298854238
single_step,95,600,-1.5533701422558988,-2.2261182865810123,1.2109945108196012,-0.2235458004432988
single_step,95,900,-1.6339419795556496,-2.2824527335759854,1.273577663240204,-0.24524643122196374
single_step,95,1200,-1.6742655996326365,-2.310323823372459,1.3056729911959997,-0.25507462919787716
single_step,95,1800,-1.708524279985473,-2.3338757183743954,1.3339902500815146,-0.26159083348973494
single_step,100,1,-0.7231422187898658,-1.5554331369583343,0.6375508543603018,0.0020225857349788906
single_step,100,3,-0.7376141479179082,-1.5751079930162137,0.6535971427583669,0.010763887401451434
single_step,100,10,-0.7620387341174691,-1.6139260785632528,0.6766194776544812,0.019153573203231307
single_step,100,30,-0.8104262640384471,-1.6806780130051602,0.7186607887380111,0.02153278467332887
single_step,100,60,-0.8685417312069341,-1.7449948527707346,0.7697092304386761,0.016610036173432423
single_step,100,100,-0.9281706997830201,-1.8019123065708071,0.823105247188692,0.008759385126548898
single_step,100,300,-1.067550084220915,-1.9175654420922639,0.951144716851757,-0.011938597866318297
single_step,100,600,-1.1183928655930426,-1.9562323387944316,0.9998858766261549,-0.016704570495511335
single_step,100,900,-1.1313774900949332,-1.9657817750213122,1.0134142670069066,-0.015558199275856645
single_step,100,1200,-1.136501210653285,-1.9694064532881574,1.0193484048138373,-0.013781781600173355
single_step,100,1800,-1.1414925108459295,-1.9727739280638175,1.025718292950537,-0.010754573223225442
