grouping,group,n,n_train,n_test,delta_h_total_J_g_MAE,delta_h_total_J_g_RMSE,delta_h_total_J_g_Bias,delta_h_total_J_g_actual_std,peak_area_J_g_MAE,peak_area_J_g_RMSE,peak_area_J_g_Bias,peak_area_J_g_actual_std,recovery_index_MAE,recovery_index_RMSE,recovery_index_Bias,recovery_index_actual_std,path_dependence_index_MAE,path_dependence_index_RMSE,path_dependence_index_Bias,path_dependence_index_actual_std
exact_condition,single_step|T1=100.0|t1=100.02|T2=nan|t2=nan,1,1,0,0.06924211236674305,0.06924211236674305,-0.06924211236674305,0.0,0.029527458248226557,0.029527458248226557,-0.029527458248226557,0.0,0.05398846734732632,0.05398846734732632,0.05398846734732632,0.0,0.015152841377434244,0.015152841377434244,-0.015152841377434244,0.0
exact_condition,single_step|T1=100.0|t1=30.0|T2=nan|t2=nan,1,1,0,0.16557396335461783,0.16557396335461783,-0.16557396335461783,0.0,0.14043485258721522,0.14043485258721522,-0.14043485258721522,0.0,0.14414571220568706,0.14414571220568706,0.14414571220568706,0.0,0.0041733778894550155,0.0041733778894550155,-0.0041733778894550155,0.0
exact_condition,single_step|T1=100.0|t1=300.0|T2=nan|t2=nan,1,1,0,0.14986523081415326,0.14986523081415326,0.14986523081415326,0.0,0.08114680260704321,0.08114680260704321,0.08114680260704321,0.0,0.141327811103647,0.141327811103647,-0.141327811103647,0.0,0.02510317123646317,0.02510317123646317,-0.02510317123646317,0.0
exact_condition,single_step|T1=50.0|t1=0.1002|T2=nan|t2=nan,2,2,0,0.10940418099257815,0.13313926071244364,0.10940418099257815,0.07587349948697003,0.10486223641965553,0.12431373487839939,0.10486223641965553,0.06676687840902285,0.1662762122462555,0.18248871922328264,-0.1662762122462555,0.07519543792539735,0.01129737738554576,0.01129737738554576,0.01129737738554576,0.0
exact_condition,single_step|T1=50.0|t1=0.4998|T2=nan|t2=nan,2,2,0,0.15431900657425018,0.15441102238956655,-0.005329919823763796,0.15431900657425018,0.11192916512672446,0.11752296847968503,0.035826109394008876,0.11192916512672446,0.15293989809387676,0.16515249821748249,-0.06232764425606141,0.15293989809387676,0.014488922137808682,0.014488922137808682,0.014488922137808682,0.0
exact_condition,single_step|T1=50.0|t1=0.7979999999999999|T2=nan|t2=nan,2,2,0,0.186133777039739,0.18613676511324576,0.001054690354726051,0.186133777039739,0.11721605027607718,0.12012606254925051,0.026280571935606623,0.11721605027607718,0.18447034830145248,0.1978412187821183,-0.07149712194721414,0.18447034830145248,0.01541790171878582,0.01541790171878582,0.01541790171878582,0.0
exact_condition,single_step|T1=50.0|t1=1.0002|T2=nan|t2=nan,2,2,0,0.1327618157870648,0.13381241922548606,-0.01673510704772163,0.1327618157870648,0.08164677288735522,0.08198440656321619,0.007432859248187262,0.08164677288735522,0.13157535826581568,0.1427001111741989,-0.05523809216791409,0.13157535826581568,0.015866242032136157,0.015866242032136157,0.015866242032136157,0.0
exact_condition,single_step|T1=50.0|t1=10.020000000000001|T2=nan|t2=nan,2,2,0,0.08434877231740362,0.10898394273527119,-0.0690129290978993,0.08434877231740362,0.03147718010008005,0.04009316669970042,-0.024832421326908327,0.03147718010008005,0.08359496946580186,0.08539212675599489,-0.017426887040534578,0.08359496946580186,0.02043694245512212,0.02043694245512212,0.02043694245512212,0.0
exact_condition,single_step|T1=50.0|t1=100.02|T2=nan|t2=nan,2,2,0,0.21690466500538497,0.21961048391579388,-0.21690466500538497,0.03436758566776088,0.13044653566056863,0.13239220440774457,-0.13044653566056863,0.022614091228656985,0.11515396270089606,0.12008559233677803,0.11515396270089606,0.034060451570046446,0.024983770919453835,0.024983770919453835,0.024983770919453835,0.0
exact_condition,single_step|T1=50.0|t1=1000.0200000000001|T2=nan|t2=nan,2,2,0,0.08876732643135932,0.09852580169461536,0.08876732643135932,0.042751553864101455,0.055630729258273726,0.06253103307095478,0.028554370227926396,0.055630729258273726,0.20182214662919995,0.20622161120814256,-0.20182214662919995,0.04236949444192162,0.029480909704827613,0.029480909704827613,0.029480909704827613,0.0
