T1_C,T2_C,actual_t1_s,actual_t2_s,loss,mean_uncertainty,pred_t2_s,source,t1_group,t2_factor_error,t2_log10_abs_error,targets,top1_near_factor3,top3_near_factor3,top5_near_factor3,variant
90.0,80.0,49.98,0.4998,0.18285412335890455,0.026449891014240542,0.1002,ps_80_90,50s,4.9880239520958085,0.6979285302592043,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
90.0,80.0,49.98,0.7979999999999999,0.24064039477282612,0.02460449532540821,0.1002,ps_80_90,50s,7.964071856287425,0.9011351698195025,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
90.0,80.0,49.98,1.0002,0.16606956690552568,0.05639123175777295,4.998,ps_80_90,50s,4.997000599880025,0.6987094015787824,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
90.0,80.0,49.98,4.998,0.23830309420778012,0.11921713608882425,49.98,ps_80_90,50s,9.999999999999998,0.9999999999999999,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
90.0,80.0,49.98,10.020000000000001,0.05136870578834053,0.04499081850685655,1.0002,ps_80_90,50s,10.017996400719857,1.000780871319578,"delta_h_total_J_g,peak_area_J_g",False,False,True,enthalpy_only
90.0,80.0,49.98,49.98,0.2038527867837042,0.06812584712533448,10.020000000000001,ps_80_90,50s,4.988023952095808,0.6979285302592042,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
90.0,80.0,49.98,100.02,0.08944090048282749,0.1273577757330773,49.98,ps_80_90,50s,2.001200480192077,0.30129059842121775,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
90.0,80.0,49.98,499.98,0.14735436129526525,0.16099924783093666,1000.0200000000001,ps_80_90,50s,2.000120004800192,0.30105605359348253,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
90.0,80.0,49.98,1000.0200000000001,1.3595226647429834,0.09789052778048363,1000.0200000000001,ps_80_90,50s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
80.0,90.0,499.98,0.1002,0.03419102493991918,0.10918863024897141,0.1002,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
80.0,90.0,499.98,0.4998,0.03169331988643241,0.1148706383349675,0.1002,ps_80_90,500s,4.9880239520958085,0.6979285302592043,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,True,True,heating_curve_full
80.0,90.0,499.98,0.7979999999999999,0.11677679558711655,0.06814177302364624,0.1002,ps_80_90,500s,7.964071856287425,0.9011351698195025,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,True,True,heating_curve_full
80.0,90.0,499.98,1.0002,0.0516388941878551,1.5423230936635375,4.998,ps_80_90,500s,4.997000599880025,0.6987094015787824,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,True,True,heating_curve_full
80.0,90.0,499.98,4.998,0.06693977760275938,0.4490142194770682,1.0002,ps_80_90,500s,4.997000599880025,0.6987094015787824,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,False,True,heating_curve_full
80.0,90.0,499.98,10.020000000000001,0.10838813752444187,3.0334136673292185,10.020000000000001,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
80.0,90.0,499.98,49.98,0.24894354163463603,2.7657459175277337,10.020000000000001,ps_80_90,500s,4.988023952095808,0.6979285302592042,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,True,True,heating_curve_full
80.0,90.0,499.98,100.02,0.22409088733742027,7.046766405258252,49.98,ps_80_90,500s,2.001200480192077,0.30129059842121775,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
80.0,90.0,499.98,499.98,0.35766764680749163,10.33596482130715,1000.0200000000001,ps_80_90,500s,2.000120004800192,0.30105605359348253,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
80.0,90.0,499.98,1000.0200000000001,1.260987571497651,5.166787073217448,1000.0200000000001,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
80.0,90.0,49.98,0.1002,0.1985023765651433,0.10489086428100028,0.1002,ps_80_90,50s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
80.0,90.0,49.98,0.4998,0.10389238509830725,0.32541674226545225,0.7979999999999999,ps_80_90,50s,1.5966386554621848,0.20320663956029816,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
80.0,90.0,49.98,0.7979999999999999,0.02440352630682741,0.17295028044631486,0.1002,ps_80_90,50s,7.964071856287425,0.9011351698195025,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,True,True,heating_curve_full
80.0,90.0,49.98,1.0002,0.04291227356764188,0.431750010970642,1.0002,ps_80_90,50s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
80.0,90.0,49.98,4.998,0.11319532428720254,1.8345714928812626,4.998,ps_80_90,50s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
80.0,90.0,49.98,10.020000000000001,0.11289960821386988,1.822366449831188,4.998,ps_80_90,50s,2.0048019207683074,0.30207146974079574,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
80.0,90.0,49.98,49.98,0.2143670204401505,2.8334691096054065,10.020000000000001,ps_80_90,50s,4.988023952095808,0.6979285302592042,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,True,True,heating_curve_full
80.0,90.0,49.98,100.02,0.09826451420785619,7.287954584682801,49.98,ps_80_90,50s,2.001200480192077,0.30129059842121775,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
80.0,90.0,49.98,499.98,0.271034228444748,11.557739459574815,499.98,ps_80_90,50s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
80.0,90.0,49.98,1000.0200000000001,1.3926725542500094,5.340026147151423,1000.0200000000001,ps_80_90,50s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
90.0,80.0,499.98,0.1002,0.14347590088659737,0.10668868491577277,1.0002,ps_80_90,500s,9.982035928143713,0.9992191286804221,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,False,True,heating_curve_full
