group,n,T1_MAE_C,T2_MAE_C,median_t1_factor,median_t2_factor,top1_near_rate,top5_near_rate,top10_near_rate,posterior_T1_coverage,posterior_T2_coverage,posterior_t1_coverage,posterior_t2_coverage,median_posterior_width_T1_C,median_posterior_width_T2_C,median_loss_flatness_ratio,mean_loss
T2 50-70,5,10.0,29.0,9.999980000039999,6.0,0.0,0.0,0.0,0.8,0.0,0.6,0.4,30.0,5.0,0.7585948936922041,0.12833142758355018
T2 75-90,46,18.58695652173913,12.065217391304348,2.0008003201280515,6.001200480192077,0.0,0.043478260869565216,0.06521739130434782,0.6304347826086957,0.0,0.9130434782608695,0.3695652173913043,30.0,5.0,0.6604578268013623,0.32620766154836206
T2 95-100,9,10.0,1.1111111111111112,5.999988000024,3.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.6666666666666666,1.0,0.8888888888888888,0.7777777777777778,15.0,5.0,1.7708596289295813,0.02576946347145522
