mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,rank,eig_total,eig_score,nearest_existing_distance,eig_delta_h_total_J_g,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,eig_peak_area_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,eig_peak_temperature_Tp_C,pred_peak_temperature_Tp_C,uncertainty_peak_temperature_Tp_C,eig_peak_height_uW,pred_peak_height_uW,uncertainty_peak_height_uW,eig_recovery_index,pred_recovery_index,uncertainty_recovery_index,eig_path_dependence_index,pred_path_dependence_index,uncertainty_path_dependence_index
two_step,50,900,55,900,1800,1,1.7610047058127842,2.2177710602470735,3.806386286952412,0.7019949869346391,-1.0668096009080021,0.3505089117778693,0.8884234954567073,-1.8817179053414919,0.2880956327856886,0.003119196253505281,104.6968706584604,0.39553418956357417,0.29380240075007685,-183.24727608690677,44.71220962001111,0.3659441372136606,0.7174991896054455,0.22416703038128524,0.41765610528002817,-0.18697722284308885,0.2285199114226084
two_step,50,1200,55,1200,2400,2,1.754134653510462,2.21108663591349,3.8079331866919004,0.698325877250842,-1.1063782987852555,0.3488062423394897,0.8831748258225731,-1.9154368117617169,0.28627941576282373,0.003096564228606593,104.67566787862091,0.3940921696772576,0.29655598337436745,-188.20623744499935,44.989196248818615,0.36266424908978423,0.7407283531901587,0.222750538950015,0.4193962501981875,-0.2119827525577614,0.22922230716846467
two_step,50,900,50,900,1800,3,1.6997279456403842,2.207175582049805,4.22873030341184,0.6713439933389448,-1.0832054385147563,0.3364118221832293,0.8479007416141402,-1.9024398528238837,0.2742665155772726,0.003016114752953167,104.74199468132333,0.38892351564290495,0.28251096672528,-185.44684064370583,43.574257707561344,0.3593945360868379,0.7358755460941724,0.22133872571552982,0.4103914845922106,-0.17661946443676982,0.22559062614165104
two_step,50,600,50,600,1200,4,1.6907885380198375,2.197927449280904,4.226157593842219,0.669189848467208,-1.0346542214586927,0.3354316924790814,0.8452973890443003,-1.860299340249747,0.2733929687900073,0.0030605883180983232,104.77271357471844,0.39178914360908895,0.2744276907661839,-178.93731855980147,42.757170142355946,0.36218898001251726,0.7072258298829128,0.22254530856669158,0.4012811394879037,-0.14490861484471268,0.2219234730360478
two_step,50,1200,50,1200,2400,5,1.682731138673648,2.1903363001209315,4.230043012060696,0.664370535373698,-1.116615701722976,0.3332438336401184,0.8405105861039343,-1.931188417306992,0.2717913555548725,0.0029402699127861133,104.71822202382663,0.38398776484485997,0.28309970362454867,-189.93783040769324,43.63368375475986,0.3520425570901931,0.7557357280960633,0.21816499712000464,0.40955126296576244,-0.19882140301887782,0.2252521286851974
two_step,50,1200,55,900,2100,6,1.720094939133043,2.180990656740665,3.8407976467301856,0.6697150874260854,-1.1029972047670857,0.33567054909488986,0.8509985481084491,-1.9114622522636942,0.2753082750651013,0.0031429121155459104,104.69485290167249,0.39703971725662174,0.30716925975966436,-184.45946392024015,46.0552247958125,0.35997178043671646,0.7477044103292262,0.22158795304609308,0.4255690583944909,-0.20048185138758032,0.23171630578336555
two_step,50,1200,60,1200,2400,7,1.7606414483772803,2.1783706910649796,3.4810770223974945,0.7004002004060396,-1.0910359519430555,0.34976832626768983,0.8908783740864138,-1.892930548735807,0.2889477114858973,0.003875132185512964,104.59637416467726,0.4410321816254357,0.29284291322333755,-184.95685837412543,44.615649165119926,0.3720148647785517,0.7390992441090383,0.22678974469626811,0.4059702463748452,-0.2101478760400709,0.22381012227581218
two_step,50,900,55,1200,2100,8,1.716880335784653,2.1783388204789924,3.845487372452827,0.6674361022677903,-1.0856869845680102,0.3346347474606511,0.8481293935427242,-1.8952983656274998,0.2743433232329392,0.003084339583260386,104.70096632494862,0.393311093494744,0.30476842777526414,-181.40791985175585,45.81427753858548,0.36160784852407835,0.7392904906559445,0.22229437263676502,0.4246912279512883,-0.18411058522250007,0.23136140238643127
two_step,50,600,55,600,1200,9,1.7276875471917315,2.1698211518320174,3.6844467053357173,0.6910586185843512,-1.0096526869669427,0.34544616671114664,0.878881032878641,-1.8324675921249862,0.28479923640577653,0.003073062943174568,104.72305548173463,0.3925892278332366,0.28136358671013934,-176.07717465107567,43.458411269285605,0.3599962509312527,0.6842310160735625,0.22159851843198394,0.40269626414275467,-0.15143443044198546,0.22249266395077316
two_step,55,600,60,600,1200,10,1.7823076287214685,2.1680228923946263,3.2142938639429834,0.7154694676511277,-1.08243428379585,0.35679823781281456,0.8789515628956692,-1.9061792853893884,0.28482350923291205,0.0033224164226454025,104.75606869908593,0.40825723286638604,0.28645297224990374,-188.08944040927076,43.97195159021078,0.3775807677608012,0.7147221604300704,0.22919567550663528,0.4321469563823309,-0.200981839390974,0.23437830244262645
