sample_id,pair,actual_t1_s,actual_t2_s,mode,T1_C,T2_C,t1_s,t2_s,total_anneal_time_s,rank,loss,target_loss,target_delta_h_total_J_g,pred_delta_h_total_J_g,error_delta_h_total_J_g,target_peak_area_J_g,pred_peak_area_J_g,error_peak_area_J_g,target_recovery_index,pred_recovery_index,error_recovery_index,target_path_dependence_index,pred_path_dependence_index,error_path_dependence_index
kovacs_eig_01_002,65->100,10.000020000000001,1200.0,two_step,65,100,4.998,1000.02,1005.02,1,0.2067244033103449,0.2067244033103449,-1.0348745117784686,-1.033498977181556,0.001375534596912642,-1.8937568826751487,-1.8895709267799767,0.004185955895172011,0.8182921801359746,0.8222821572619071,0.00398997712593252,0.12552056133551504,0.21543271847199805,0.08991215713648301
kovacs_eig_01_002,65->100,10.000020000000001,1200.0,two_step,65,100,4.998,900,904.998,2,0.24177268431293086,0.24177268431293086,-1.0348745117784686,-1.023753531121343,0.011120980657125523,-1.8937568826751487,-1.8849281980448092,0.00882868463033959,0.8182921801359746,0.8101963299686159,-0.008095850167358698,0.12552056133551504,0.21560356358972696,0.09008300225421192
kovacs_eig_01_002,65->100,10.000020000000001,1200.0,two_step,65,100,4.998,1200,1205,3,0.261646825160327,0.261646825160327,-1.0348745117784686,-1.0502493184336228,-0.015374806655154227,-1.8937568826751487,-1.8974108491267088,-0.00365396645156002,0.8182921801359746,0.8433703464495788,0.025078166313604155,0.12552056133551504,0.21436389929559327,0.08884333796007823
kovacs_eig_01_002,65->100,10.000020000000001,1200.0,two_step,65,100,0.4998,100,100.5,4,0.29944747114018005,0.29944747114018005,-1.0348745117784686,-1.0433685847321563,-0.008494072953687759,-1.8937568826751487,-1.8701328398108705,0.023624042864278216,0.8182921801359746,0.9032721206174457,0.08497994048147106,0.12552056133551504,0.08491383737348951,-0.040606723962025526
kovacs_eig_01_002,65->100,10.000020000000001,1200.0,two_step,65,100,0.4998,100,100.5,5,0.29944747114018005,0.29944747114018005,-1.0348745117784686,-1.0433685847321563,-0.008494072953687759,-1.8937568826751487,-1.8701328398108705,0.023624042864278216,0.8182921801359746,0.9032721206174457,0.08497994048147106,0.12552056133551504,0.08491383737348951,-0.040606723962025526
kovacs_eig_01_002,65->100,10.000020000000001,1200.0,two_step,65,100,0.4998,100.02,100.52,6,0.2994562414092511,0.2994562414092511,-1.0348745117784686,-1.043395258017972,-0.008520746239503385,-1.8937568826751487,-1.8701521974034805,0.023604685271668258,0.8182921801359746,0.903297598518241,0.08500541838226638,0.12552056133551504,0.08492811948249224,-0.0405924418530228
kovacs_eig_01_002,65->100,10.000020000000001,1200.0,two_step,65,100,0.798,100.02,100.818,7,0.3091211888170996,0.3091211888170996,-1.0348745117784686,-0.9796645477921064,0.05520996398636213,-1.8937568826751487,-1.8363512003526181,0.05740568232253063,0.8182921801359746,0.8263099750589763,0.008017794923001698,0.12552056133551504,0.09661141661783507,-0.02890914471767997
kovacs_eig_01_002,65->100,10.000020000000001,1200.0,two_step,65,100,0.798,100,100.798,8,0.3092018394795982,0.3092018394795982,-1.0348745117784686,-0.9796387435890189,0.05523576818944964,-1.8937568826751487,-1.836332141199384,0.05742474147576471,0.8182921801359746,0.8262858728250171,0.007993692689042486,0.12552056133551504,0.09659693685901927,-0.02892362447649577
kovacs_eig_01_002,65->100,10.000020000000001,1200.0,two_step,65,100,0.798,100,100.798,9,0.3092018394795982,0.3092018394795982,-1.0348745117784686,-0.9796387435890189,0.05523576818944964,-1.8937568826751487,-1.836332141199384,0.05742474147576471,0.8182921801359746,0.8262858728250171,0.007993692689042486,0.12552056133551504,0.09659693685901927,-0.02892362447649577
kovacs_eig_01_002,65->100,10.000020000000001,1200.0,two_step,65,100,1.0002,100.02,101.02,10,0.4210107569043324,0.4210107569043324,-1.0348745117784686,-0.9497279142487005,0.08514659752976805,-1.8937568826751487,-1.8202927802369193,0.07346410243822943,0.8182921801359746,0.790441086058333,-0.027851094077641636,0.12552056133551504,0.10199047423323856,-0.02353008710227647
