group_key,mode,T1_C,T2_C,t1_s_fixed,time_axis,n_raw_points,n_time_points,offset_J_g,amplitude_J_g,tau_s,beta,rmse_J_g,mae_J_g
single_step|T=100,single_step,100.0,,,t1_s,3,3,1.2193394590213,-1.9140198434994362,899.9999999999998,0.95,0.043310171296388145,0.03980488499388709
single_step|T=50,single_step,50.0,,,t1_s,20,10,-5.317857882287983,1.153098995882772,86.42299921768061,0.25,0.07021712546409224,0.06335283774611397
single_step|T=70,single_step,70.0,,,t1_s,21,11,-3.294930580525402,1.6896526819819853,70.56684939398639,0.95,0.8391567662342835,0.542122636495505
single_step|T=80,single_step,80.0,,,t1_s,3,3,2.731905713754634,-1.5197995585415711,3000.0000000000073,0.95,0.015081072838884043,0.014210447463957276
single_step|T=90,single_step,90.0,,,t1_s,5,5,19.834026226982925,-17.86550854574637,16.666666666666657,0.95,0.9577476276182163,0.8363660618293242
two_step|T1=80|t1=49.98|T2=90,two_step,80.0,90.0,49.98,t2_s,10,10,-6.274116673739453,1.1143091013571658,1.3553233142976502,0.6,0.0703190541578189,0.05006987092032986
two_step|T1=80|t1=499.98|T2=90,two_step,80.0,90.0,499.98,t2_s,10,10,-4.807614310920006,-0.4839915111549726,3000.06,0.95,0.03444594828374016,0.023152819580355376
two_step|T1=90|t1=49.98|T2=80,two_step,90.0,80.0,49.98,t2_s,10,10,-4.183426448333359,0.4598634176143319,1.836901286278767,0.825,0.06321531796016497,0.05568362669362403
two_step|T1=90|t1=499.98|T2=80,two_step,90.0,80.0,499.98,t2_s,10,10,-3.694179587389852,-0.1735203660654488,535.6570050455554,0.95,0.01498607353494624,0.010603079432903329
