group_key,mode,time_axis,time_s,actual_delta_h_total_J_g,pred_delta_h_total_J_g,error_J_g
single_step|T=100,single_step,t1_s,30.0,1.1035033552803104,1.1451863338626362,0.041682978582325836
single_step|T=100,single_step,t1_s,100.02,1.0557705089981688,0.9960631815073382,-0.05970732749083063
single_step|T=100,single_step,t1_s,300.0,0.633177711827816,0.6512020607363208,0.018024348908504795
single_step|T=50,single_step,t1_s,0.1002,-5.173397504305944,-5.123557938330451,0.04983956597549355
single_step|T=50,single_step,t1_s,0.4998,-5.094697974637139,-5.039949524562463,0.054748450074676214
single_step|T=50,single_step,t1_s,0.7979999999999999,-5.020745784985374,-5.010506885202881,0.01023889978249315
single_step|T=50,single_step,t1_s,1.0002,-4.923213174457985,-4.995414698670346,-0.07220152421236126
single_step|T=50,single_step,t1_s,4.998,-4.802840259179719,-4.870902217903379,-0.06806195872365972
single_step|T=50,single_step,t1_s,10.020000000000001,-4.742527070659703,-4.808105220741109,-0.06557815008140633
single_step|T=50,single_step,t1_s,49.98,-4.682534655776184,-4.646861839647564,0.03567281612861972
single_step|T=50,single_step,t1_s,100.02,-4.623630977075358,-4.5734680892405075,0.050162887834850345
single_step|T=50,single_step,t1_s,499.98,-4.52538580597048,-4.409284237036045,0.11610156893443424
single_step|T=50,single_step,t1_s,1000.0200000000001,-4.236172490391871,-4.347095046105016,-0.11092255571314524
single_step|T=70,single_step,t1_s,0.1002,-3.4940838921949497,-3.2916038073457026,0.20248008484924718
single_step|T=70,single_step,t1_s,0.4998,-3.41845034656664,-3.279671976684726,0.13877836988191383
single_step|T=70,single_step,t1_s,0.7979999999999999,-3.329431176339364,-3.271191676802079,0.058239499537285244
single_step|T=70,single_step,t1_s,1.0002,-3.200845169009924,-3.2655603677744707,-0.06471519876454668
single_step|T=70,single_step,t1_s,4.998,-2.9120711393476495,-3.163697027670226,-0.2516258883225766
single_step|T=70,single_step,t1_s,10.020000000000001,-2.719738618921132,-3.0500806210064284,-0.3303420020852963
single_step|T=70,single_step,t1_s,49.98,-2.636715240225416,-2.427238442048117,0.20947679817729936
single_step|T=70,single_step,t1_s,100.02,-2.5179320177012956,-2.024920887250272,0.4930111304510234
single_step|T=70,single_step,t1_s,300.0,0.6973266888254754,-1.6376647227273837,-2.334991411552859
single_step|T=70,single_step,t1_s,499.98,-2.546148332333329,-1.6080176099738268,0.9381307223595021
single_step|T=70,single_step,t1_s,1000.0200000000001,-2.546842670814865,-1.6052847753458606,0.9415578954690043
single_step|T=80,single_step,t1_s,49.999999999999986,2.6911035024053787,2.701137031942477,0.01003352953709813
single_step|T=80,single_step,t1_s,499.99999999999983,2.4999648987396155,2.4786492275436784,-0.021315671195937025
single_step|T=80,single_step,t1_s,1000.000000000002,2.269502351990891,2.2807844936497275,0.011282141658836675
single_step|T=90,single_step,t1_s,49.999999999999986,3.0634977250711946,3.0126847343144085,-0.050812990756786025
single_step|T=90,single_step,t1_s,100.0002,1.3261420125611,2.0425698517994277,0.7164278392383276
single_step|T=90,single_step,t1_s,300.0,0.5940334322384888,1.96852074757345,1.3744873153349613
single_step|T=90,single_step,t1_s,499.998,3.212541956762254,1.968517681418838,-1.244024275343416
single_step|T=90,single_step,t1_s,499.99999999999983,2.764595569891951,1.9685176814188203,-0.7960778884731305
two_step|T1=80|t1=49.98|T2=90,two_step,t2_s,0.1002,-6.03082219017114,-6.063452376134935,-0.032630185963794744
