mode,T1_C,T2_C,t1_s,t2_s,total_anneal_time_s,requires_multi_rate_arrt,heating_rates_C_min,raw_eig_score,eig_score,uncertainty_component,sensitivity_component,novelty_component,asymmetry_component,time_penalty_component,has_existing_strict_arrt_pair,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,pred_activation_enthalpy_H_star_kj_mol,uncertainty_activation_enthalpy_H_star_kj_mol,pred_activation_entropy_S_star_j_mol_K,uncertainty_activation_entropy_S_star_j_mol_K,rank
two_step,90.0,80.0,900.0,10.0,910.0,True,"5,10,20,40",0.8068578898236818,0.8068578898236818,0.9763770536279023,1.0,0.25529135190361985,0.8665216753262408,0.25277777777777777,False,-1.0234801549401225,0.7751710132260295,-1.4794681203989286,0.47724166313742805,468.90496362844414,50.53328050922285,1021.9038679175453,135.19920624001355,1
two_step,80.0,90.0,10.0,300.0,310.0,True,"5,10,20,40",0.6478392233902461,0.6478392233902461,0.983429114364427,0.0002256599057589232,0.7331612111638918,0.6549635360592493,0.08611111111111111,False,-1.1607195488353148,0.7270167440192545,-1.7703182946315852,0.4444336823720693,491.2553648419471,54.92569776583682,1082.1378481526458,147.43467153598587,2
two_step,90.0,80.0,10.0,300.0,310.0,True,"5,10,20,40",0.6478251772932919,0.6478251772932919,0.9835217418213691,2.7460954460112817e-06,0.7331612111638918,0.6549635360592493,0.08611111111111111,False,-1.1607920795937177,0.7270752827487047,-1.7703094180389465,0.44447963831944565,491.2591524958115,54.9307658063723,1082.1480939551548,147.44824848463057,3
two_step,80.0,90.0,900.0,10.0,910.0,True,"5,10,20,40",0.6343816930120839,0.6343816930120839,0.8609570520795323,0.5178512155406745,0.25529135190361985,0.8665216753262408,0.25277777777777777,False,-1.0452378914278941,0.7193026791541092,-1.664905901155285,0.44270151623223825,479.43393977777106,42.72905980015761,1050.1274477283373,114.33497172328545,4
two_step,80.0,90.0,1800.0,10.0,1810.0,True,"5,10,20,40",0.6275275624918355,0.6275275624918355,1.0,0.025942699168886238,0.5563205496091808,1.0,0.5027777777777778,False,-1.0822158332853744,0.8328262972137616,-1.4980175536982767,0.5040203359968173,468.57692266652424,49.52081069014965,1021.0379588555473,132.41908151793027,26
two_step,80.0,90.0,10.0,100.0,110.0,True,"5,10,20,40",0.6242406468462004,0.6242406468462004,0.9835228892753578,0.0,0.6987962571875402,0.4434053967922575,0.030555555555555555,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,13
two_step,90.0,80.0,10.0,100.0,110.0,True,"5,10,20,40",0.6242406468462004,0.6242406468462004,0.9835228892753578,0.0,0.6987962571875402,0.4434053967922575,0.030555555555555555,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,14
two_step,80.0,90.0,10.0,30.0,40.0,True,"5,10,20,40",0.6094750073218259,0.6094750073218259,0.9835228892753578,0.0,0.7331139105505234,0.21155813926699166,0.011111111111111112,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,5
two_step,90.0,80.0,10.0,30.0,40.0,True,"5,10,20,40",0.6094750073218259,0.6094750073218259,0.9835228892753578,0.0,0.7331139105505234,0.21155813926699166,0.011111111111111112,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,6
two_step,90.0,80.0,1800.0,30.0,1830.0,True,"5,10,20,40",0.6062661032432946,0.6062661032432946,0.9836252542359872,0.022742009404642004,0.5988585853965279,0.7884418607330084,0.5083333333333333,False,-1.154458486699149,0.7257639980638207,-1.7630334827465854,0.44606075607459994,490.48157651277995,54.89443454634011,1080.055142489519,147.34749083885436,18
two_step,80.0,90.0,1800.0,30.0,1830.0,True,"5,10,20,40",0.5841220911728637,0.5841220911728637,0.8989796875671673,0.08652798112679466,0.5988585853965279,0.7884418607330084,0.5083333333333333,False,-1.0955993473070291,0.6718683144165916,-1.7729711729392819,0.4052777604428085,487.7767078858827,50.39519734739261,1072.72917370969,135.29144691527696,23
two_step,80.0,90.0,10.0,10.0,20.0,True,"5,10,20,40",0.5819002138357503,0.5819002138357503,0.9835228892753578,0.0,0.6987967905314186,0.0,0.005555555555555556,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,24
two_step,90.0,80.0,10.0,10.0,20.0,True,"5,10,20,40",0.5819002138357503,0.5819002138357503,0.9835228892753578,0.0,0.6987967905314186,0.0,0.005555555555555556,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,25
two_step,90.0,80.0,1800.0,10.0,1810.0,True,"5,10,20,40",0.5694830284905059,0.5694830284905059,0.8747772011342676,0.01916560112188626,0.5563205496091808,1.0,0.5027777777777778,False,-0.9284001258087893,0.6968561300059541,-1.3984818268229882,0.4218894509987867,455.9462601692661,46.068192779484626,987.1501502096188,123.25061737829671,37
