mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,rank,eig_score,expected_information_gain,nearest_existing_distance,time_penalty,eig_delta_h_total_J_g,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,eig_peak_area_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,eig_peak_temperature_Tp_C,pred_peak_temperature_Tp_C,uncertainty_peak_temperature_Tp_C,eig_peak_height_uW,pred_peak_height_uW,uncertainty_peak_height_uW,eig_onset_temperature_C,pred_onset_temperature_C,uncertainty_onset_temperature_C,eig_recovery_index,pred_recovery_index,uncertainty_recovery_index,eig_path_dependence_index,pred_path_dependence_index,uncertainty_path_dependence_index,eig_kovacs_peak_label,pred_kovacs_peak_label,uncertainty_kovacs_peak_label
two_step,50,10,65,1200,1210,1,1.8948379589830742,1.5892168890912588,2.7148978046540164,0.020166666666666666,0.5873847994252148,-0.902766518130482,0.3247099712641751,0.5954722890189718,-1.7919178013137318,0.25222315236819787,0.0034149438444146412,105.0204322584749,0.41392223188415056,0.24723521049991629,-170.78399131589381,39.98842631441325,3.6755971699022733e-07,70.01018122317689,0.004286956100139154,0.4491255252819532,0.6060609982409941,0.2337648466486357,0.450020863354718,-0.008102204636505,0.28692111666918235,0.0,0.0,0.0
two_step,50,10,65,1800,1810,2,1.8938276476690439,1.597439021335227,2.721294108337364,0.030166666666666665,0.5889945850087865,-0.9166079979164938,0.3254666475994494,0.5975965878252153,-1.802938751420326,0.25299336468682293,0.0034654699875982554,105.00456277458122,0.4169836485788526,0.2538289639435145,-172.13836246087192,40.66311370969505,3.6233810211979947e-07,70.01021559056092,0.004256396559348832,0.4512542898945154,0.6155289393088724,0.23460470035111852,0.451710892007212,-0.017081255587882538,0.2877384335607468,0.0,0.0,0.0
two_step,50,10,65,900,910,3,1.8925006517502287,1.5818824540496654,2.7148738697269184,0.015166666666666667,0.5856532690127131,-0.892910113218073,0.3238968206171737,0.5934039139386005,-1.7840393376267316,0.2514741016284041,0.003373837294572158,105.03163600519274,0.41141498018044137,0.2423195770323393,-169.82775159979707,39.483826993563525,3.7135217342576423e-07,70.01015561594515,0.00430901561454722,0.4471883210143332,0.5994157111651193,0.23300105472870222,0.4484458690737408,-0.0017443643051207546,0.2861598233062823,0.0,0.0,0.0
two_step,50,10,70,300,310,4,1.8871270277216439,1.5769159419755296,2.6281479367731744,0.005166666666666666,0.559173884582866,-0.8930222102901825,0.31155595357118904,0.5499779223100297,-1.7821058325958568,0.23594017492384559,0.005023246179626105,104.95062744754559,0.5024223271075704,0.20468002104452004,-169.65470435876148,35.561699679598405,4.320165073032758e-07,70.00964011503476,0.004647669813689394,0.5180761140847447,0.6309784448852175,0.26130102860390547,0.4192344392199177,0.021638929105744973,0.2721027623266038,0.0,0.0,0.0
two_step,50,10,65,600,610,5,1.884994290885229,1.569397473053748,2.714695704151229,0.010166666666666668,0.5823539488810803,-0.8790189172361134,0.32234955663550935,0.5896681649387205,-1.7728844889233255,0.25012341738280885,0.003308670670757392,105.0472863577108,0.4074090180463295,0.23507354807167619,-168.49010382031614,38.737241883721374,3.768026341324821e-07,70.0101178909848,0.004340522872378067,0.4438672626008464,0.590198262247317,0.2316927005224149,0.44567519357851665,0.007152284787357568,0.2848214851040206,0.0,0.0,0.0
two_step,50,10,70,100,110,6,1.8841733839997226,1.5573594580577308,2.738727160627709,0.0018333333333333333,0.556916840138067,-0.8570758402184676,0.3105119717974276,0.546473775650036,-1.7543987685875786,0.23470193688705246,0.004812769955883474,105.00180692666422,0.4917320005714872,0.1909160064048842,-166.48173292993513,34.094206580607185,4.383634549680762e-07,70.00960582537782,0.004681685845561677,0.5101420234181554,0.6009203708831805,0.25809336915872183,0.4154577915892593,0.04187187279549239,0.27029316054381397,0.0,0.0,0.0
two_step,50,10,70,600,610,7,1.8787016204795814,1.579052593091928,2.581797450452668,0.010166666666666668,0.5566901584488715,-0.9158410347930165,0.3104071882831236,0.5485864836445983,-1.7995625095422803,0.23544823212361765,0.0051050632523984875,104.9175108100435,0.5065182053849653,0.2122111515983707,-171.70811226682187,36.35612174573758,4.2820833753165134e-07,70.0096578041486,0.004627140158316387,0.5194254181337213,0.650679412135258,0.26184766725277164,0.41970596162383844,0.00874397895600986,0.2723288078641695,0.0,0.0,0.0
two_step,50,10,70,60,70,8,1.877074076096653,1.5421171720063032,2.801029756308473,0.0011666666666666668,0.5533786896114833,-0.8411468156642752,0.30887784189307854,0.5425537736799285,-1.7419966390030708,0.2333192961902312,0.004687797831407069,105.02411570162472,0.4852752888222768,0.1840418962974284,-165.09057668203124,33.35277766205861,4.4133038569395823e-07,70.00958803361938,0.0046975024239830085,0.5043693438844234,0.5880235524664933,0.2557665311114326,0.4124723268928507,0.05071673614756721,0.2688637644776201,0.0,0.0,0.0
two_step,50,10,70,900,910,9,1.8692873803676657,1.5767075139134072,2.5645544426743774,0.015166666666666667,0.5539098832926922,-0.9289842569273961,0.30912299160082307,0.5465520709230954,-1.8095871648882071,0.23472958001809988,0.005133488640896588,104.89820276967552,0.5079336455695096,0.21612792259273983,-172.90871380536305,36.76714745874835,4.2608203650747225e-07,70.00966660436211,0.00461563764854557,0.5188691312014138,0.6622379023469188,0.2616222604224483,0.41935362781171875,0.0013361319872345968,0.2721598983515827,0.0,0.0,0.0
two_step,50,30,70,300,330,10,1.8665449520828015,1.5610540432001203,2.5915909073556773,0.0055000000000000005,0.5580774321306362,-0.9083154590651025,0.31104864540821725,0.5448227400169515,-1.7923071602001168,0.23411926737830832,0.0052793292575260865,104.93929202370587,0.5151358524211987,0.20648769270574488,-169.4942627638476,35.752895870681755,4.4732632076913446e-07,70.00962186477332,0.004729305027538567,0.5022482613978335,0.6342920645433398,0.2549130140090608,0.4240655089118127,0.0007483764221680904,0.2744199807345544,0.0,0.0,0.0
two_step,50,30,70,100,130,11,1.865622770594796,1.5492581006828674,2.6544278048216268,0.0021666666666666666,0.5580296686780567,-0.8766024512520186,0.3110265526375776,0.5434489167171241,-1.7681974623951184,0.23363479093538775,0.005088216053825144,104.9843203324034,0.5056774684883235,0.19386720706760327,-166.745582728124,34.41069436942973,4.5067697646440736e-07,70.00961145169695,0.004746984198278974,0.49737448135623047,0.6084939574716254,0.2529547014232603,0.42262659236037686,0.01958156114222507,0.27372951815344515,0.0,0.0,0.0
two_step,50,10,60,1800,1810,12,1.8641170507905394,1.5580836857866425,2.8016669305880293,0.030166666666666665,0.5879283113106389,-0.897693013552811,0.3249653724348063,0.6082359271665463,-1.7821766493743034,0.25686494788775627,0.002697874728586576,105.05356555633229,0.3677748200566287,0.25616239662598983,-169.38553974302877,40.90131893769541,3.584066629836578e-07,70.01017513743314,0.004233242205680089,0.41106170719893864,0.6014341404067857,0.21883299590495603,0.44317879042621827,-0.018785444045101324,0.2836165987372136,0.0,0.0,0.0
two_step,50,30,65,1200,1230,13,1.864042955878263,1.5656311908689808,2.6575980417440164,0.0205,0.5816087644422303,-0.917972564896943,0.3220004784198287,0.5870356543608769,-1.8030015380452453,0.24917330116834455,0.0034175156615242077,105.01505928036157,0.4140785994271701,0.2470766830333472,-170.6275895576915,39.972175489958026,3.6880401235550853e-07,70.01023247640748,0.004294206261766786,0.4354551588684143,0.6119440772833256,0.2283844507833801,0.4487729079518641,-0.0261199070923482,0.28631787082781157,0.0,0.0,0.0
two_step,50,30,65,900,930,14,1.8637278089754934,1.5603471607273418,2.657338735401265,0.0155,0.5805353714304343,-0.9086681939334287,0.3214979016887452,0.5855949291450188,-1.7956362691768675,0.2486539052750348,0.0033799975469909326,105.02547789938667,0.41179167772663156,0.24233813815096944,-169.74109696724932,39.48573508240811,3.720517229410905e-07,70.0102123237265,0.004313072346736196,0.43422572228218675,0.6057659053755826,0.22790161329646558,0.44791732208085777,-0.01989929982429298,0.28590442729584037,0.0,0.0,0.0
two_step,50,10,65,300,310,15,1.8637138324749336,1.5422568674282915,2.7218635976109073,0.005166666666666666,0.5743306326094747,-0.8554824399974441,0.3185984821986905,0.5809938182423732,-1.7538127651588495,0.24699790872046523,0.0031788479575674054,105.07341372024457,0.39931031047182985,0.22191105999984687,-166.24445318399438,37.37155361128576,3.863263844298159e-07,70.01004943980237,0.004395034321128389,0.4366786217204765,0.5750289592298828,0.22886510728950413,0.4394048871741488,0.022003524290246497,0.2817968283229965,0.0,0.0,0.0
two_step,50,30,70,60,90,16,1.8613494151473209,1.5399830715996687,2.690552862897102,0.0014999999999999998,0.5562965715206742,-0.8635980353274677,0.3102252817141551,0.5413310804785778,-1.7582349607468537,0.2328885791531366,0.004987758218120753,105.00257934223522,0.5006355400697001,0.18819377593587341,-165.62897153807484,33.801319943702175,4.5216398146661175e-07,70.0096052995448,0.004754809070398829,0.493855187874123,0.5981849212506183,0.25154308393961317,0.421089713320475,0.027182628796867035,0.2729923195962877,0.0,0.0,0.0
two_step,50,30,65,1800,1830,17,1.8605913585399105,1.5713766361123582,2.664289353562937,0.0305,0.5824501872027092,-0.9310698958971244,0.3223946493941246,0.5884382273044652,-1.8133383064241437,0.24967934016160864,0.003464501065962598,105.00027499363289,0.4169251494026398,0.25350734739981146,-171.8893734265087,40.63025983425303,3.6434096040401156e-07,70.01025909866297,0.004268144170177357,0.4367037569323104,0.6207433013325991,0.2288749837898029,0.4495336651243091,-0.034911574605270716,0.28668558312058273,0.0,0.0,0.0
two_step,50,10,70,1200,1210,18,1.8601841360609674,1.573513624678387,2.556976483743725,0.020166666666666666,0.5513832925712538,-0.9381665274948798,0.30795753945874826,0.5446009159574902,-1.8165810662929127,0.2340410193138549,0.005145054083604697,104.88460780877875,0.5085084413099784,0.21868041011432876,-173.7562613329031,37.0342661527074,4.2462234837837464e-07,70.009672164379,0.004607724648254084,0.5178862925781154,0.6704054142164942,0.26122415357615697,0.41885030914802474,-0.0038218989290076076,0.2719186310243367,0.0,0.0,0.0
two_step,50,30,65,600,630,19,1.859587489894716,1.5511930844425466,2.6574533787680785,0.010499999999999999,0.5783354984017227,-0.8956063644554613,0.3204688080711789,0.582921060772688,-1.7852597763128681,0.2476910393342462,0.0033215282512663083,105.03998504429961,0.4082024786651507,0.23544353344621888,-168.50902067562322,38.77544728266486,3.7671824435785176e-07,70.01018228824505,0.00434003678713973,0.4320198373544706,0.5972032723933256,0.22703570551239097,0.4462517507001798,-0.011211996429215587,0.28509988949023907,0.0,0.0,0.0
two_step,50,30,70,600,630,20,1.8590887944157342,1.5609019368334769,2.572390479852144,0.010499999999999999,0.5550373088393008,-0.9294449627737081,0.30964352548785584,0.5429735536942782,-1.808280477989764,0.23346723115267068,0.0053651446996130165,104.9088088554778,0.5193280615552115,0.21401154470231853,-171.36527844378944,36.54522899161216,4.452993646139482e-07,70.00962457905665,0.004718577979145471,0.5026385870981025,0.6519403540202552,0.2550700222966575,0.423427131051344,-0.011857966093574056,0.27411362523085064,0.0,0.0,0.0
two_step,50,10,60,1200,1210,21,1.8570841838761118,1.5417963063783642,2.7954545347034525,0.020166666666666666,0.5825492049590539,-0.8834912945515938,0.3224410469412553,0.602470225169556,-1.7702133092755061,0.2547639220361444,0.002635983516093053,105.06730018838579,0.3635205738259649,0.2474358226684437,-167.92085052976128,40.00898920777658,3.6507586771292876e-07,70.01012567945284,0.004272446611681358,0.40822538341099324,0.5939699643099872,0.21772596516509019,0.4387019258314569,-0.00965217164877358,0.28145808313229853,0.0,0.0,0.0
two_step,50,10,70,30,40,22,1.8557857786404603,1.517014150808198,2.8286524541577416,0.0006666666666666666,0.5465775953766603,-0.8212692798304854,0.3057448686585201,0.5354168401953141,-1.7263542915479952,0.2308087800140173,0.004503783262414207,105.05164880782648,0.47561162553259684,0.1747327796788517,-163.35544075931492,32.338419250439856,4.4518112351962233e-07,70.00956354331998,0.004717951471273915,0.4951860171705303,0.5723688950231196,0.25207665124954154,0.407462475398534,0.06153004043895853,0.26646721080744723,0.0,0.0,0.0
two_step,55,10,70,1200,1210,23,1.8553736407944819,1.6005903123880387,2.2912499589425828,0.020166666666666666,0.5926504843945446,-0.9042620139045867,0.32718761308680944,0.5985313247020241,-1.7963170210870338,0.2533325678239089,0.0032709244871794757,105.0261815739444,0.40507078410350655,0.25093066809668063,-171.4188593506204,40.366847570253256,3.54107450448782e-07,70.01030322652345,0.004207775991191178,0.448470036466752,0.6006523215546904,0.23350635207038925,0.45859510728997527,-0.007284420383093814,0.29107232805570993,0.0,0.0,0.0
two_step,55,10,70,900,910,24,1.8538506481805093,1.5940707230341862,2.2912215984415827,0.015166666666666667,0.5912755218833684,-0.8945048313897396,0.32653995628980137,0.5967402766431421,-1.7886529023373885,0.2526827786317929,0.0032380806797477585,105.03721364202053,0.40302534147826385,0.24618075744249454,-170.48625177983195,39.88030573173219,3.5820530566259517e-07,70.01027721948523,0.004232052894126365,0.44659120033274885,0.5937716873437543,0.23276571703851226,0.4574660870588951,-0.0007608845572345236,0.29052504827564785,0.0,0.0,0.0
two_step,55,10,70,1800,1810,25,1.853503444373349,1.6078110711565343,2.2988253323623433,0.030166666666666665,0.5938316453888044,-0.9179669099561114,0.32774438053509386,0.6003314117994423,-1.8070588869710322,0.25398630178652426,0.003310681352227075,105.01056938116608,0.40753320077846494,0.2573182425839722,-172.74278910126012,41.019209522645085,3.484447831394931e-07,70.01033830534499,0.0041739963138058,0.45052489642017457,0.6104089189909915,0.23431687187419528,0.45971544013367366,-0.016466396195327818,0.2916156009588393,0.0,0.0,0.0
