mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,rank,eig_score,expected_information_gain,inverse_identifiability_score,nearest_existing_distance,novelty_component,inverse_identifiability_component,extrapolation_penalty,extrapolation_penalty_component,time_penalty,sensitivity_T1_C,sensitivity_t1_s,sensitivity_T2_C,sensitivity_t2_s,eig_delta_h_total_J_g,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,eig_peak_area_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,eig_peak_temperature_Tp_C,pred_peak_temperature_Tp_C,uncertainty_peak_temperature_Tp_C,eig_peak_height_uW,pred_peak_height_uW,uncertainty_peak_height_uW,eig_recovery_index,pred_recovery_index,uncertainty_recovery_index,eig_path_dependence_index,pred_path_dependence_index,uncertainty_path_dependence_index
two_step,65,30,85,1200,1230,1,4.279638746755504,2.7013433593195337,1.0,1.8990256544570003,0.39879538743597004,1.2,0.0,0.0,0.0205,0.5656717853081703,4.543834295947499,0.3273260259448408,3.2573647333123215,0.8788590179792007,-1.1891330467573815,3.246156535582551,0.8400633355517949,-0.7524996124550103,2.5019896949391165,0.38183418635190636,99.81245961087734,9.527662525502647,0.8343292891452143,-45.480745209066725,111.31171933821096,0.2613373217718449,0.6703809386787426,0.2959487415196529,1.1359460981526008,-1.9677886156351367,4.821774037223928
two_step,65,30,85,900,930,2,4.257927950744662,2.683658739478936,1.0,1.8560438631701244,0.3897692112657261,1.2,0.0,0.0,0.0155,0.5636512904793443,4.5838742843543345,0.3106251745558915,3.2168762215161926,0.8887873414311535,-1.4900971171658115,3.285254681821148,0.8444881689274809,-0.987337388327219,2.5156194104696077,0.34966553603505107,100.54373271483836,8.95459457280126,0.8356557921708878,-53.9601664381998,111.49376557638502,0.25327848014553667,0.6806735582425347,0.2900784966884621,1.145902455464513,-2.3572487034956233,4.875537612297432
two_step,65,30,85,1800,1830,3,4.246514192702086,2.696843731339307,1.0,1.8103355302989463,0.3801704613627787,1.2,0.0,0.0,0.0305,0.5605638348319224,4.369404438905654,0.3421840209413743,3.2585254796015697,0.8552794137922696,-0.7858863646624779,3.154517849402223,0.8243602322531277,-0.4341761846072458,2.4539923250430635,0.42142363512883024,98.72056139181808,10.236319367089967,0.8218596686546038,-33.732380633472594,109.60942426397156,0.2706379513286545,0.6586938885191823,0.30269688966446007,1.1116854590654695,-1.451070328821899,4.692732309278364
two_step,70,10,85,1800,1810,4,4.229901870430038,2.6965241094980836,1.0,1.7311645828404736,0.36354456239649946,1.2,3.851367973431823e-07,1.3479787907011379e-07,0.030166666666666665,0.5770110241134382,3.969196448399967,0.37664980266507325,2.4847316621470843,0.887235163380436,-1.7921047879968812,3.2791217789227773,0.8527598147105694,-1.2033167487300878,2.541223932307195,0.30486892931354104,100.70658689803122,8.156334181297069,0.8693479092080044,-68.08770068747788,116.18085722382281,0.2723547056114646,0.7070084450397245,0.3039396871538179,1.1663576559332294,-2.6287842857633077,4.987497603912554
two_step,60,100,85,900,1000,5,4.225396567003043,2.6026894102649747,0.994806550607029,2.1219331556014285,0.4456059626763,1.1937678607284348,0.0,0.0,0.016666666666666666,0.5362268562846839,3.17017938071433,0.24384373039666007,1.933334981261145,0.8655029862785808,-1.012958128101987,3.1940419878516733,0.8123201897305576,-0.646954349437375,2.417578641726157,0.3856745218278304,100.1712925269307,9.596193461022079,0.782871871096589,-36.12708055336804,104.38921797810052,0.22878029358746915,0.6702706560437689,0.27206973348592944,1.0982942442387738,-1.9191820282108922,4.622675446371191
two_step,65,60,85,1800,1860,6,4.222636044182639,2.6725990996311384,1.0,1.814461640721432,0.3810369445515007,1.2,0.0,0.0,0.031,0.5732010630177858,4.672253003012662,0.320510356616161,3.0837493231454367,0.8897121655397611,-1.8777492363886115,3.288912415408425,0.8482203152853399,-1.2779260003954072,2.5271517712814004,0.3353927997647587,100.762883761268,8.700535198947236,0.849280418021605,-67.68202537636814,113.3743917128263,0.23989753347773393,0.7018665651521505,0.28027591413066516,1.154907423473198,-2.899133678125529,4.924574583590765
two_step,65,100,90,1800,1900,7,4.215384326051605,2.716945566765505,0.9346803279310676,1.9451858687404016,0.4084890324354843,1.1216163935172812,0.0,0.0,0.03166666666666667,0.5919041086641406,5.283569135691035,0.4150665135392849,3.9109626630535956,0.9190872526846853,-1.289142044501897,3.4065147701103955,0.8968215268393384,-0.766214786629922,2.680449674277066,0.39871215578312863,98.16651934625168,9.829144369731301,0.8562641383211735,-50.20887243757648,114.34608851856117,0.2093269764804914,0.7474818973548873,0.25754423351460454,1.1078153622452647,-2.5576567388365574,4.672401085799004
two_step,65,60,90,1200,1260,8,4.208159211157385,2.7052843294364015,0.9586816735143073,1.7783660643038788,0.3734568735038145,1.1504180082171687,0.0,0.0,0.020999999999999998,0.5756354185524148,5.225651466725835,0.4032431358844972,4.231383889650184,0.9026364817744483,-0.8455282353057083,3.3403126512914345,0.8812263688445386,-0.4227001532333821,2.6306168054233376,0.4164867621237637,97.49460631317324,10.147638041759501,0.8356577220351874,-35.953437136724155,111.49403056170968,0.22500498473678876,0.7321779786384662,0.26926841025448006,1.0870758127294835,-1.9990145984046541,4.564614300573504
two_step,70,10,90,300,310,9,4.20039617319399,2.65297179051536,0.9997168880716569,1.6806234212247018,0.3529309184571874,1.1996602656859883,3.851367973431823e-07,1.3479787907011379e-07,0.005166666666666666,0.5731709058852487,4.914504420463033,0.4140362743732898,3.692812234771055,0.9292537607599343,-1.9553726338404103,3.44787054493104,0.897311822544573,-1.2814091911792174,2.6820264459304,0.3091784624354601,100.14454307400676,8.233301570608383,0.8493914405802516,-68.66095071032677,113.3897978756801,0.20171208861362444,0.7732494278193364,0.25179011725273714,1.1254927161042814,-3.224207241739433,4.7658340366193075
two_step,65,10,85,300,310,10,4.197814429691984,2.6289561093670004,1.0,1.781072008521568,0.3740251217895293,1.2,3.851367973431823e-07,1.3479787907011379e-07,0.005166666666666666,0.5320212025644776,4.247958525090596,0.2864249385811257,3.0046818920395872,0.8661242280758272,-0.9458510895663326,3.1964539104196157,0.8172773811991204,-0.5843197660637057,2.432530838995449,0.3616326150844843,100.41616231820963,9.16763734286274,0.7894739776430482,-34.42527509555459,105.26255561712269,0.26290945593209225,0.6505248400327465,0.2970913175994022,1.1071626365625833,-1.6292650352833649,4.6689788492389965
