condition_key,mode,T1_C,t1_s,T2_C,t2_s,n_scans,n_distinct_heating_rates,heating_rates_C_min,n_valid_peak_rates,valid_heating_rates_C_min,n_truncated_scans,can_calculate_arrt_kissinger,reason
two_step|75|10|100|10,two_step,75,10,100,10,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|75|10|100|1800,two_step,75,10,100,1800,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|49.98|90|0.1002,two_step,80,49.98,90,0.1002,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|49.98|90|0.4998,two_step,80,49.98,90,0.4998,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|49.98|90|0.798,two_step,80,49.98,90,0.798,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|49.98|90|1.0002,two_step,80,49.98,90,1.0002,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|49.98|90|10.02,two_step,80,49.98,90,10.02,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|49.98|90|100.02,two_step,80,49.98,90,100.02,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|49.98|90|1000.02,two_step,80,49.98,90,1000.02,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|49.98|90|4.998,two_step,80,49.98,90,4.998,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|49.98|90|49.98,two_step,80,49.98,90,49.98,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|49.98|90|499.98,two_step,80,49.98,90,499.98,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|499.98|90|0.1002,two_step,80,499.98,90,0.1002,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|499.98|90|0.4998,two_step,80,499.98,90,0.4998,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|499.98|90|0.798,two_step,80,499.98,90,0.798,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|499.98|90|1.0002,two_step,80,499.98,90,1.0002,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|499.98|90|10.02,two_step,80,499.98,90,10.02,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|499.98|90|100.02,two_step,80,499.98,90,100.02,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|499.98|90|1000.02,two_step,80,499.98,90,1000.02,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|499.98|90|4.998,two_step,80,499.98,90,4.998,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|499.98|90|49.98,two_step,80,499.98,90,49.98,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|80|499.98|90|499.98,two_step,80,499.98,90,499.98,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|85|10|100|1200,two_step,85,10,100,1200,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|49.98|80|0.1002,two_step,90,49.98,80,0.1002,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|49.98|80|0.4998,two_step,90,49.98,80,0.4998,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|49.98|80|0.798,two_step,90,49.98,80,0.798,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|49.98|80|1.0002,two_step,90,49.98,80,1.0002,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|49.98|80|10.02,two_step,90,49.98,80,10.02,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|49.98|80|100.02,two_step,90,49.98,80,100.02,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|49.98|80|1000.02,two_step,90,49.98,80,1000.02,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|49.98|80|4.998,two_step,90,49.98,80,4.998,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|49.98|80|49.98,two_step,90,49.98,80,49.98,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|49.98|80|499.98,two_step,90,49.98,80,499.98,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|499.98|80|0.1002,two_step,90,499.98,80,0.1002,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|499.98|80|0.4998,two_step,90,499.98,80,0.4998,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|499.98|80|0.798,two_step,90,499.98,80,0.798,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|499.98|80|1.0002,two_step,90,499.98,80,1.0002,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|499.98|80|10.02,two_step,90,499.98,80,10.02,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|499.98|80|100.02,two_step,90,499.98,80,100.02,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|499.98|80|1000.02,two_step,90,499.98,80,1000.02,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|499.98|80|4.998,two_step,90,499.98,80,4.998,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|499.98|80|49.98,two_step,90,499.98,80,49.98,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
two_step|90|499.98|80|499.98,two_step,90,499.98,80,499.98,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
