sample_id,source_file,cycle_id,mode,T1_C,t1_s,T2_C,t2_s,heating_rate_C_min,n_points,temp_min_C,temp_max_C,covers_arrt_peak_window,is_truncated,arrt_peak_temperature_Tp_C
single_eig_01_001,ps-single-01.xlsx,1,single_step,100.0,300.0,nan,nan,10.0,9950,30.0081024169922,196.915161132813,True,False,104.541801452637
single_eig_01_002,ps-single-01.xlsx,2,single_step,90.0,300.0,nan,nan,10.0,9950,30.0066528320313,196.899307250977,True,False,103.813415527344
single_eig_01_003,ps-single-01.xlsx,3,single_step,100.0,30.0,nan,nan,10.0,9952,30.0099620819092,196.943862915039,True,False,104.427909851074
single_eig_01_004,ps-single-01.xlsx,4,single_step,95.0,100.02,nan,nan,60.0,1557,30.0163040161133,184.928268432617,True,False,109.026626586914
single_eig_01_005,ps-single-01.xlsx,5,single_step,100.0,100.02,nan,nan,10.0,9955,30.0074920654297,196.975204467773,True,False,104.414710998535
kovacs_eig_01_001,ps-kovacs-01.xlsx,1,single_step,95.0,100.02,nan,nan,10.0,9950,30.0004177093506,196.905181884766,True,False,104.117919921875
kovacs_eig_01_002,ps-kovacs-01.xlsx,2,two_step,65.0,10.000020000000001,100.0,1200.0,10.0,9951,30.0073699951172,196.928726196289,True,False,104.567100524902
kovacs_eig_01_003,ps-kovacs-01.xlsx,3,two_step,50.0,10.000020000000001,80.0,1800.0,10.0,9951,30.0113487243652,196.938552856445,True,False,103.833358764648
kovacs_eig_01_004,ps-kovacs-01.xlsx,4,two_step,50.0,10.000020000000001,100.0,10.000020000000001,10.0,9953,30.0090618133545,196.957809448242,True,False,104.324256896973
kovacs_eig_01_005,ps-kovacs-01.xlsx,5,two_step,50.0,1800.0,100.0,10.000020000000001,10.0,9954,30.0012855529785,196.960693359375,True,False,104.389984130859
kovacs_eig_01_006,ps-kovacs-01.xlsx,6,two_step,55.0,600.0,90.0,300.0,10.0,9955,30.0105571746826,196.986053466797,True,False,103.660636901855
kovacs_eig_01_007,ps-kovacs-01.xlsx,7,two_step,50.0,10.000020000000001,70.0,1800.0,10.0,9957,30.0040760040283,197.010681152344,True,False,104.592735290527
kovacs_eig_01_008,ps-kovacs-01.xlsx,8,two_step,50.0,10.000020000000001,100.0,1800.0,10.0,9958,30.0016212463379,197.031845092773,True,False,104.452514648438
kovacs_eig_01_009,ps-kovacs-01.xlsx,9,two_step,50.0,10.000020000000001,85.0,60.0,10.0,9960,30.0083770751953,197.051132202148,True,False,104.512939453125
kovacs_eig_01_010,ps-kovacs-01.xlsx,10,two_step,75.0,10.000020000000001,100.0,1800.0,10.0,9961,30.0076141357422,197.078903198242,True,False,104.467399597168
kovacs_eig_03_001,ps-kovacs-03.xlsx,1,two_step,50.0,10.000020000000001,65.0,1200.0,10.0,9949,30.0061817169189,196.898971557617,True,False,104.657440185547
kovacs_eig_03_002,ps-kovacs-03.xlsx,2,two_step,50.0,10.000020000000001,75.0,10.000020000000001,10.0,9951,30.0092296600342,196.919448852539,True,False,104.592010498047
kovacs_eig_03_003,ps-kovacs-03.xlsx,3,two_step,65.0,10.000020000000001,65.0,1800.0,10.0,9952,30.0006008148193,196.922775268555,True,False,104.463150024414
kovacs_eig_03_004,ps-kovacs-03.xlsx,4,two_step,85.0,10.000020000000001,100.0,1200.0,10.0,9953,30.0093364715576,196.953994750977,True,False,104.43278503418
kovacs_eig_04_001,ps-kovacs-04.xlsx,1,two_step,75.0,10.000020000000001,100.0,10.000020000000001,10.0,9954,30.0118675231934,196.933578491211,True,False,104.151809692383
kovacs_eig_04_002,ps-kovacs-04.xlsx,2,two_step,50.0,100.0002,70.0,60.0,10.0,9955,30.0118980407715,196.959365844727,True,False,104.553367614746
kovacs_eig_04_003,ps-kovacs-04.xlsx,3,two_step,65.0,10.000020000000001,85.0,600.0,10.0,9956,30.0042743682861,196.978927612305,True,False,103.56192779541
kovacs_eig_04_004,ps-kovacs-04.xlsx,4,two_step,50.0,10.000020000000001,70.0,300.0,10.0,9957,30.0075988769531,196.992233276367,True,False,104.445831298828
hs_01_001,ps-hs-01.xlsx,1,single_step,70.0,300.0,nan,nan,5.0,20080,30.003360748291,198.135330200195,True,False,102.932731628418
hs_01_002,ps-hs-01.xlsx,2,single_step,70.0,300.0,nan,nan,10.0,9956,30.0023078918457,197.019409179688,True,False,104.457336425781
hs_01_003,ps-hs-01.xlsx,3,single_step,70.0,300.0,nan,nan,20.0,4911,30.0029029846191,194.696990966797,True,False,106.104507446289
hs_01_004,ps-hs-01.xlsx,4,single_step,70.0,300.0,nan,nan,40.0,2391,30.0147953033447,189.868240356445,True,False,108.60945892334
hs_01_005,ps-hs-01.xlsx,5,single_step,90.0,100.0002,nan,nan,5.0,20079,30.0050067901611,198.154388427734,True,False,102.919906616211
hs_01_006,ps-hs-01.xlsx,6,single_step,90.0,100.0002,nan,nan,10.0,9955,30.0095500946045,196.999847412109,True,False,104.196235656738
hs_01_007,ps-hs-01.xlsx,7,single_step,90.0,100.0002,nan,nan,20.0,4907,30.0001430511475,194.699447631836,True,False,105.5732421875
hs_01_008,ps-hs-01.xlsx,8,single_step,90.0,100.0002,nan,nan,40.0,2393,30.0139102935791,190.046722412109,True,False,107.42162322998
hs_01_009,ps-hs-01.xlsx,9,single_step,95.0,100.02,nan,nan,5.0,20079,30.0008144378662,198.159484863281,True,False,102.616424560547
hs_01_010,ps-hs-01.xlsx,10,single_step,95.0,100.02,nan,nan,10.0,9957,30.0025825500488,197.026123046875,True,False,103.933876037598
hs_01_011,ps-hs-01.xlsx,11,single_step,95.0,100.02,nan,nan,20.0,4908,30.0118217468262,194.761672973633,True,False,105.633995056152
hs_01_012,ps-hs-01.xlsx,12,single_step,95.0,100.02,nan,nan,40.0,2394,30.0217018127441,190.179656982422,True,False,107.416748046875
hs_02_001,ps-hs-02.xlsx,1,two_step,50.0,10.000020000000001,80.0,1800.0,5.0,20067,30.0051288604736,198.092163085938,True,False,102.541961669922
hs_02_002,ps-hs-02.xlsx,2,two_step,50.0,10.000020000000001,80.0,1800.0,10.0,9948,30.000020980835,196.913223266602,True,False,103.236877441406
hs_02_003,ps-hs-02.xlsx,3,two_step,50.0,10.000020000000001,80.0,1800.0,20.0,4900,30.0165176391602,194.56477355957,True,False,104.473602294922
hs_02_004,ps-hs-02.xlsx,4,two_step,50.0,10.000020000000001,80.0,1800.0,40.0,2388,30.0060443878174,189.810562133789,True,False,106.536849975586
hs_02_005,ps-hs-02.xlsx,5,two_step,50.0,10.000020000000001,100.0,1800.0,5.0,20072,30.002140045166,198.137802124023,True,False,102.744354248047
hs_02_006,ps-hs-02.xlsx,6,two_step,50.0,10.000020000000001,100.0,1800.0,10.0,9955,30.0008907318115,197.022766113281,True,False,104.108459472656
hs_02_007,ps-hs-02.xlsx,7,two_step,50.0,10.000020000000001,100.0,1800.0,20.0,4907,30.0120048522949,194.725143432617,True,False,105.964530944824
hs_02_008,ps-hs-02.xlsx,8,two_step,50.0,10.000020000000001,100.0,1800.0,40.0,2393,30.0043506622314,190.099899291992,True,False,107.933883666992
hs_02_009,ps-hs-02.xlsx,9,two_step,65.0,10.000020000000001,100.0,1200.0,5.0,20078,30.0022010803223,198.184219360352,True,False,102.784111022949
hs_02_010,ps-hs-02.xlsx,10,two_step,65.0,10.000020000000001,100.0,1200.0,10.0,9956,30.0075073242188,197.057495117188,True,False,104.186386108398
