mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,condition_key,rank,loss,target_loss,mean_uncertainty,target_activation_enthalpy_H_star_kj_mol,pred_activation_enthalpy_H_star_kj_mol,error_activation_enthalpy_H_star_kj_mol,target_activation_entropy_S_star_j_mol_K,pred_activation_entropy_S_star_j_mol_K,error_activation_entropy_S_star_j_mol_K
single_step,50,300,,,300,single_step|70|300||,1,0.06576698243650025,0.0004426331339673576,3.016217465126645,427.25184355786695,427.2752117775749,0.023368219707947446,910.2131890320542,910.2758743131205,0.06268528106636495
single_step,50,600,,,600,single_step|70|300||,2,0.06580314575800728,0.0003785414168663692,2.7712302170570453,427.25184355786695,427.27182360648624,0.019980048619288482,910.2131890320542,910.2668113112562,0.05362227920204532
single_step,55,900,,,900,single_step|70|300||,3,0.071364300605412,0.000389967660801176,2.7987166472305414,427.25184355786695,427.2724484023881,0.02060484452113087,910.2131890320542,910.2683647967311,0.05517576467696017
single_step,55,1200,,,1200,single_step|70|300||,4,0.0729592166358232,0.0003450411093672301,2.6307087763227988,427.25184355786695,427.2700714742587,0.018227916391765575,910.2131890320542,910.262017615689,0.0488285836348723
single_step,50,900,,,900,single_step|70|300||,5,0.07390612735484772,0.00042466700363244546,2.9240730175607643,427.25184355786695,427.27425472632063,0.022411168453686514,910.2131890320542,910.2733556277828,0.06016659572867411
single_step,55,600,,,600,single_step|70|300||,6,0.07416514400926076,0.0005036630521224576,3.1830740478569153,427.25184355786695,427.2784595090619,0.02661595119496951,910.2131890320542,910.284440094106,0.07125106205182874
single_step,55,1800,,,1800,single_step|70|300||,7,0.0824961277278777,0.00033990672071581684,2.607811050358095,427.25184355786695,427.2697936290983,0.017950071231325637,910.2131890320542,910.2613108345749,0.04812180252076814
single_step,50,1200,,,1200,single_step|70|300||,8,0.08475017534235324,0.0005145641050008484,3.211780561867619,427.25184355786695,427.27899636617695,0.02715280831000655,910.2131890320542,910.2860998386244,0.07291080657023485
single_step,55,300,,,300,single_step|70|300||,9,0.08914849412067363,0.0008604624369208598,4.1644015841876385,427.25184355786695,427.2973188447569,0.04547528688993907,910.2131890320542,910.3349019024606,0.12171287040644074
single_step,50,100,,,100,single_step|70|300||,10,0.0950154278525238,0.0010279015343659618,4.616042982574559,427.25184355786695,427.3061135001505,0.054269942283553974,910.2131890320542,910.3587496655133,0.14556063345912662
