mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,rank,eig_score,expected_information_gain,nearest_existing_distance,time_penalty,eig_delta_h_total_J_g,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,eig_peak_area_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,eig_peak_temperature_Tp_C,pred_peak_temperature_Tp_C,uncertainty_peak_temperature_Tp_C,eig_peak_height_uW,pred_peak_height_uW,uncertainty_peak_height_uW,eig_onset_temperature_C,pred_onset_temperature_C,uncertainty_onset_temperature_C,eig_recovery_index,pred_recovery_index,uncertainty_recovery_index,eig_path_dependence_index,pred_path_dependence_index,uncertainty_path_dependence_index,eig_kovacs_peak_label,pred_kovacs_peak_label,uncertainty_kovacs_peak_label
two_step,100,10,100,1200,1210,1,1.9311257158072987,1.70717936496746,2.034275145887544,0.020166666666666666,0.6211355262456939,-0.9133064301121476,0.32843421074272383,0.6029228239809843,-1.8047951468919905,0.25348983036434963,0.0034036905408910746,105.00179541340994,0.41323733997988854,0.24661665605668,-171.77453243458427,39.92500937173317,3.2818073641648413e-07,70.01033695915156,0.004050807599226995,0.5337177947543916,0.608798510806429,0.2393261488859844,0.4592388782682664,-0.00891169772309075,0.2864504260228069,0.0,0.0,0.0
two_step,80,10,80,600,610,2,1.841883137196088,1.6816847556604904,1.4197087350188697,0.010166666666666668,0.6192221982542645,-0.9036864541930002,0.3275512214063767,0.5829154040183444,-1.7835864765922456,0.24629109529462487,0.003593235535393852,105.00606503786173,0.42462794665733794,0.2326666734784996,-166.04569828160552,38.488471339959645,3.3921999247903044e-07,70.01037870087045,0.004118374118200408,0.5345996332118601,0.6042543410957353,0.2396478801439923,0.44656502599320813,-0.0002729317916676484,0.2804209834468326,0.0,0.0,0.0
two_step,80,100,100,60,160,3,1.7536060431401832,1.594956421046608,1.3443024063353488,0.0026666666666666666,0.5751052756516843,-0.8911597517263576,0.30745868048228947,0.5449948004085888,-1.7809451843766386,0.23285830113461103,0.004951202120064627,104.96215580499299,0.4987884140789853,0.1938692486221181,-165.51736395314379,34.41091294316667,4.0599430979584263e-07,70.00997191342661,0.004505521471634925,0.5211933356855769,0.6060548061081518,0.23477106076285162,0.43780628302656305,-0.01293679079972388,0.27626792389222304,0.0,0.0,0.0
two_step,90,10,100,100,110,4,1.780482008671405,1.6503744292513964,1.0995076062778493,0.0018333333333333333,0.600157093977557,-0.8379174927239268,0.3188065873439416,0.5763038314878959,-1.7458893699624742,0.24392968453251543,0.0038514709851126465,105.06092335810534,0.43967846065978317,0.19984919218759375,-164.9232037258408,35.04906588816904,3.794507478292736e-07,70.00995488937818,0.0043557484535506645,0.5334577807436507,0.5615082512801192,0.23923131077466356,0.44667242379573546,0.04227177893349775,0.2804719751262955,0.0,0.0,0.0
two_step,100,600,100,300,900,5,1.7684641300568393,1.5505535432330309,1.9409215568650706,0.015,0.576848417744268,-0.9513162067859638,0.30824324575025464,0.5513876760200418,-1.8334919273408918,0.23510452750423827,0.0027406257723327234,105.02041040348465,0.37068521308945074,0.23848833040971404,-169.65347026602598,39.089507531586285,3.172553203438605e-07,70.01083817232767,0.003982809441806248,0.4525619901111386,0.6184038629562917,0.2102325502343101,0.44296193142677287,-0.06805504606106116,0.2787112258145427,0.0,0.0,0.0
two_step,75,10,90,1800,1810,6,1.7618225980147035,1.6814248339579014,0.921370256028906,0.030166666666666665,0.6023320422094776,-0.9457765808845994,0.3197993151418199,0.5768844300867773,-1.819038617652838,0.244136714495055,0.005589178816875372,104.86418090977662,0.5301195366462359,0.23523601152762735,-170.9641893441831,38.75401932822084,3.5522892179403424e-07,70.01026566412557,0.004214433817143478,0.5497854398604366,0.6478424955934265,0.24520992374773692,0.4421841463140475,-0.028211326360952145,0.2783423904614525,0.0,0.0,0.0
two_step,100,10,100,10,20,7,1.7663059860812265,1.5188599572930452,2.064828017679288,0.0003333333333333333,0.5577512282940702,-0.7753440309437598,0.2996872264603668,0.5335002838537118,-1.6965558012983493,0.22883722890588157,0.003210159155194935,105.12827318483572,0.4012783551660054,0.16321907191551951,-160.10400602241637,31.065355022460793,4.0410795185396434e-07,70.01009440048291,0.004495042353289038,0.49014791406121505,0.5184166609388844,0.22358872554154094,0.4172169603363333,0.08320637171557514,0.26654469526591856,0.0,0.0,0.0
two_step,65,600,70,300,900,8,1.6867486342345497,1.5000719395725373,1.680639122183437,0.015,0.5542356805134868,-0.9576194359773482,0.2981214096858363,0.5274492732639416,-1.8189878327649942,0.22672929931480648,0.003232075944825783,104.96608674838718,0.4026502703970641,0.22557532116508827,-164.43439379201274,37.75307240746366,3.260824696028371e-07,70.01072893172864,0.004037837143401385,0.45499369961568426,0.6392131178585125,0.21109135454513045,0.4130464086677621,-0.05915673291280638,0.2645811907315927,0.0,0.0,0.0
two_step,90,10,90,900,910,9,1.8702574503958198,1.7023509714093426,1.5256095471095341,0.015166666666666667,0.6251127254846904,-0.9044496582188646,0.3302728830665763,0.6011234327994001,-1.7941422786780987,0.25283907680611384,0.0034052379208579704,105.01841684348169,0.41333158208576665,0.24517266797925488,-169.6561480432423,39.77687817015996,3.3499107436451543e-07,70.01034627756258,0.004092622549072663,0.5260610578791223,0.5984860473457257,0.2365382783557373,0.46207270247448956,-0.004944444283060669,0.28780202227709645,0.0,0.0,0.0
two_step,65,10,75,60,70,10,1.708869527107702,1.5298297422028702,1.5017204297624878,0.0011666666666666668,0.5623377200073836,-0.8423773993809179,0.301734288820618,0.5209544737938036,-1.7243476708165044,0.22447336780356186,0.005152086927979844,104.94895320079739,0.5088576586025186,0.16807504971094772,-157.81548723996164,31.60494741942386,4.0637529988143367e-07,70.01006781458828,0.004507634995329384,0.5107476479037177,0.5800641403399003,0.23099187661473755,0.4025353921931317,0.04520708387311374,0.2596404018585238,0.0,0.0,0.0
