mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,rank,eig_score,expected_information_gain,inverse_identifiability_score,nearest_existing_distance,novelty_component,inverse_identifiability_component,extrapolation_penalty,extrapolation_penalty_component,time_penalty,sensitivity_T1_C,sensitivity_t1_s,sensitivity_T2_C,sensitivity_t2_s,eig_delta_h_total_J_g,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,eig_peak_area_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,eig_peak_temperature_Tp_C,pred_peak_temperature_Tp_C,uncertainty_peak_temperature_Tp_C,eig_peak_height_uW,pred_peak_height_uW,uncertainty_peak_height_uW,eig_recovery_index,pred_recovery_index,uncertainty_recovery_index,eig_path_dependence_index,pred_path_dependence_index,uncertainty_path_dependence_index
single_step,90,10,,,10,1,1.9079710415916262,1.6653499190071575,0.0,1.1561323297673114,0.2427877892511354,0.0,0.0,0.0,0.00016666666666666666,0.0,0.0,0.0,0.0,0.7322431021885831,0.19192861476358827,2.702105414011511,0.6674868097418362,0.22469395026520364,2.0035623251314583,0.45593715128746726,98.51575684090406,10.859590770927188,0.5165619194715718,10.914728663510173,72.17234216460945,0.16128016141326323,0.7868428062842142,0.2203705359820924,0.03272168566363615,-0.0228459437028229,0.42518781589687754
single_step,80,300,,,300,2,1.7285673914036923,1.659809120317123,0.0,0.35122986231699654,0.07375827108656927,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.6851429252299931,0.06640786663866113,2.5392107892001383,0.7266127117826268,-0.028340015987181808,2.167517770303673,0.42312566278104946,95.61336180384333,10.266917476211129,0.49537221951626287,9.083661288686892,69.80894052298359,0.1926177796656791,0.7051981363736539,0.2448593244360779,0.024957079815879742,-0.016960626075250545,0.36987722494576214
single_step,85,60,,,60,3,1.7758265916076297,1.6557891225817682,0.0,0.5763689001231489,0.12103746902586127,0.0,0.0,0.0,0.0009999999999999998,0.0,0.0,0.0,0.0,0.6839122383989925,0.4608166235713447,2.535023322679626,0.6763871309923597,0.3914725932669316,2.0278332815269597,0.4720398358711425,96.36632126482176,11.152703131504976,0.48462927022340724,18.74612066274559,68.61865167983301,0.1803918326359257,0.7630963692264197,0.23542761394519765,0.032238112808091884,-0.022314447353924422,0.4219311980986322
single_step,85,1800,,,1800,4,1.6366851833552984,1.50152994840222,0.0,0.7864534997765644,0.16515523495307852,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.602072378611015,1.2272486146684682,2.263743808874387,0.7081079279890488,1.001723991521627,2.1155009331426595,0.40587816607207944,93.56401309567764,9.957409091963648,0.4311796581416551,41.01898742061238,62.76432574532507,0.145704690401212,0.7927752924993007,0.2077518381002657,0.020559066775904234,-0.013606977868618699,0.33496555044179216
two_step,65,30,85,1200,1230,5,4.279638746755504,2.7013433593195337,1.0,1.8990256544570003,0.39879538743597004,1.2,0.0,0.0,0.0205,0.5656717853081703,4.543834295947499,0.3273260259448408,3.2573647333123215,0.8788590179792007,-1.1891330467573815,3.246156535582551,0.8400633355517949,-0.7524996124550103,2.5019896949391165,0.38183418635190636,99.81245961087734,9.527662525502647,0.8343292891452143,-45.480745209066725,111.31171933821096,0.2613373217718449,0.6703809386787426,0.2959487415196529,1.1359460981526008,-1.9677886156351367,4.821774037223928
two_step,50,900,80,10,910,6,4.167983422597473,2.3020977925635586,1.0,3.243106174764673,0.6810522967005813,1.2,0.0,0.0,0.015166666666666667,0.48546385101846384,0.8955444051355956,0.43155375922178274,1.0290588970284322,0.8518239707181484,-2.325255807189954,3.1412303297263393,0.8088600385999679,-1.5315178699754677,2.407175026727209,0.3221412153689118,98.8000401959135,8.464505765380633,0.5925663631825803,-55.974500705739516,80.84852276073659,0.12368492426318192,0.7936644486738514,0.18922152549944515,1.0034675801158848,-2.563586327756022,4.149185709796117
two_step,55,1800,75,1800,3600,7,4.124079862596838,2.51898612858381,1.0,2.214732066728701,0.46509373401302717,1.2,0.0,0.0,0.06,0.5411537203718036,0.6116579946995642,0.14769557194923813,2.06394789958913,0.7850843063416371,-1.0017027115208934,2.8913665026300297,0.7407129770150882,-0.6572785055805713,2.2076041483566033,0.32795697910531785,99.75077378695993,8.5681222126945,0.7716947496609738,-40.59585591387185,102.92031417740554,0.22630926884972263,0.6891812089194329,0.27023709314777483,1.2127442932287413,-0.8513008628719367,5.249111590738111
two_step,65,300,100,1800,2100,8,4.138491629754966,2.481722656071401,0.9844596763611295,2.4305588669057583,0.5104173620502093,1.1813516116333553,0.0,0.0,0.035,0.5200346258672202,2.84872951227126,0.42796991422399705,0.7245931598218992,0.8589535694731709,-0.24892439038473615,3.1686857132846176,0.8487750255736314,0.0945910773174582,2.5288686791408543,0.3803466054705946,94.24833549152677,9.501125782275713,0.7678486639859633,-15.940845793784465,102.4176245255087,0.1712640830010771,0.8188825941547109,0.2282885440040108,0.9808488485401075,-1.5413735677276197,4.041790503556835
two_step,55,60,85,10,70,9,4.12106455107668,2.4583999959117775,1.0,2.20872010395985,0.4638312218315685,1.2,0.0,0.0,0.0011666666666666668,0.4811905090085412,4.831862851312539,0.16600029863439802,4.585620332954794,0.8781067508775636,-1.213197722695086,3.2432066059710163,0.8003423767847686,-0.7767732315240121,2.3816799960340873,0.3107297173753499,100.43213942792265,8.260992619959335,0.6463086563585708,-30.055909129493973,87.2054457773219,0.20735761295823954,0.7447068297889475,0.25606013348972695,1.08175832470779,-1.5975911546487853,4.537291416414979
two_step,50,1800,70,300,2100,10,4.094992840569805,2.427341307663414,1.0,2.393578728125672,0.5026515329063911,1.2,0.0,0.0,0.035,0.5288220568583685,5.190321551360382,0.10681402508842221,3.9828772578481657,0.8035012130380476,-1.258165860993969,2.9590633538902624,0.7365221160482078,-0.8422295941509823,2.195648315299767,0.2781906623574137,101.35802455798448,7.6781537879922075,0.6361927984662515,-33.37308629857311,85.99322201393579,0.2408214787427358,0.6568066029637241,0.2809552429501301,1.175210101487815,-0.8701441192826963,5.036587459861379
