mode,T1_C,T2_C,t1_s,t2_s,total_anneal_time_s,requires_multi_rate_arrt,heating_rates_C_min,raw_eig_score,eig_score,uncertainty_component,sensitivity_component,novelty_component,asymmetry_component,time_penalty_component,has_existing_strict_arrt_pair,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,pred_activation_enthalpy_H_star_kj_mol,uncertainty_activation_enthalpy_H_star_kj_mol,pred_activation_entropy_S_star_j_mol_K,uncertainty_activation_entropy_S_star_j_mol_K,selection_reason,rank
two_step,80.0,90.0,30.0,30.0,60.0,True,"5,10,20,40",0.5039511242998772,0.5039511242998772,0.9835228892753578,0.0,0.3134957872964973,0.0,0.016666666666666666,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,time_diagonal_anchor,1
two_step,80.0,90.0,300.0,300.0,600.0,True,"5,10,20,40",0.49199535536172734,0.49199535536172734,0.9835228892753578,0.0,0.3137169426057481,0.0,0.16666666666666666,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,time_diagonal_anchor,2
two_step,80.0,90.0,900.0,900.0,1800.0,True,"5,10,20,40",0.45445724415716776,0.45445724415716776,0.9835228892753578,0.0,0.2593597199162836,0.0,0.5,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,time_diagonal_anchor,3
two_step,90.0,80.0,30.0,30.0,60.0,True,"5,10,20,40",0.5039511242998772,0.5039511242998772,0.9835228892753578,0.0,0.3134957872964973,0.0,0.016666666666666666,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,time_diagonal_anchor,4
two_step,90.0,80.0,300.0,300.0,600.0,True,"5,10,20,40",0.49199535536172734,0.49199535536172734,0.9835228892753578,0.0,0.3137169426057481,0.0,0.16666666666666666,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,time_diagonal_anchor,5
two_step,90.0,80.0,900.0,900.0,1800.0,True,"5,10,20,40",0.45445724415716776,0.45445724415716776,0.9835228892753578,0.0,0.2593597199162836,0.0,0.5,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,time_diagonal_anchor,6
two_step,90.0,80.0,900.0,10.0,910.0,True,"5,10,20,40",0.8068578898236818,0.8068578898236818,0.9763770536279023,1.0,0.25529135190361985,0.8665216753262408,0.25277777777777777,False,-1.0234801549401225,0.7751710132260295,-1.4794681203989286,0.47724166313742805,468.90496362844414,50.53328050922285,1021.9038679175453,135.19920624001355,high_EIG_or_identifiability,7
two_step,80.0,90.0,10.0,300.0,310.0,True,"5,10,20,40",0.6478392233902461,0.6478392233902461,0.983429114364427,0.0002256599057589232,0.7331612111638918,0.6549635360592493,0.08611111111111111,False,-1.1607195488353148,0.7270167440192545,-1.7703182946315852,0.4444336823720693,491.2553648419471,54.92569776583682,1082.1378481526458,147.43467153598587,high_EIG_or_identifiability,8
two_step,90.0,80.0,10.0,300.0,310.0,True,"5,10,20,40",0.6478251772932919,0.6478251772932919,0.9835217418213691,2.7460954460112817e-06,0.7331612111638918,0.6549635360592493,0.08611111111111111,False,-1.1607920795937177,0.7270752827487047,-1.7703094180389465,0.44447963831944565,491.2591524958115,54.9307658063723,1082.1480939551548,147.44824848463057,high_EIG_or_identifiability,9
two_step,80.0,90.0,900.0,10.0,910.0,True,"5,10,20,40",0.6343816930120839,0.6343816930120839,0.8609570520795323,0.5178512155406745,0.25529135190361985,0.8665216753262408,0.25277777777777777,False,-1.0452378914278941,0.7193026791541092,-1.664905901155285,0.44270151623223825,479.43393977777106,42.72905980015761,1050.1274477283373,114.33497172328545,high_EIG_or_identifiability,10
two_step,80.0,90.0,10.0,30.0,40.0,True,"5,10,20,40",0.6094750073218259,0.6094750073218259,0.9835228892753578,0.0,0.7331139105505234,0.21155813926699166,0.011111111111111112,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,high_EIG_or_identifiability,11
two_step,90.0,80.0,10.0,30.0,40.0,True,"5,10,20,40",0.6094750073218259,0.6094750073218259,0.9835228892753578,0.0,0.7331139105505234,0.21155813926699166,0.011111111111111112,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,high_EIG_or_identifiability,12
