mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,rank,eig_score,expected_information_gain,nearest_existing_distance,time_penalty,eig_delta_h_total_J_g,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,eig_peak_area_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,eig_recovery_index,pred_recovery_index,uncertainty_recovery_index,eig_path_dependence_index,pred_path_dependence_index,uncertainty_path_dependence_index,eig_peak_temperature_Tp_C,pred_peak_temperature_Tp_C,uncertainty_peak_temperature_Tp_C,eig_peak_height_uW,pred_peak_height_uW,uncertainty_peak_height_uW
two_step,100,100,100,100,200,1,1.6921520755233004,1.4467179617885475,2.0730620589007187,0.0033333333333333335,0.5208320070349723,-0.984454314719189,0.27157240801609583,0.5932516071565896,-1.8339696258673437,0.21798554985835705,0.4128845040855059,0.7112650675116219,0.20742094647773407,0.38416403504710434,-0.0921981016234427,0.24044986834631796,0.003999427200711041,104.79370717231073,0.44807730094290793,0.19900531423943923,-176.51045717988407,34.95925679053749
two_step,70,900,100,300,1200,2,1.6772372145017007,1.4277661234479582,2.2455924254478545,0.02,0.5084231215581074,-0.9878810189854492,0.26637939766081525,0.5680802633832358,-1.832134293371297,0.21014173174137252,0.43285760650884747,0.723100828105495,0.21480882820748093,0.3674620664356782,-0.05614597093188541,0.23296761490449913,0.004987772123084421,104.73828441813379,0.5006362413961267,0.1842417906465489,-170.1581984061891,33.37442533293364
two_step,50,100,100,10,110,3,1.6500720659304873,1.2268736409788175,3.541931319041693,0.0018333333333333333,0.43888010608746264,-0.8787586011753312,0.2377446413979642,0.45818089175585514,-1.731574716971964,0.17699068592442876,0.4117428094323334,0.6492550492524728,0.20699970316405425,0.3337808022613465,-0.034597957345669825,0.2179005516089612,0.005519548042342189,104.84288576644694,0.5267886609699489,0.0708052561026637,-153.48485804044518,19.50178334229928
two_step,50,30,100,100,130,4,1.654228591790976,1.3786693017410485,2.314382972638284,0.0021666666666666666,0.4972237871537369,-0.9387359403252061,0.26171651808823787,0.556538824080349,-1.78141479623706,0.2065802791212024,0.4301936708142222,0.7015617502130291,0.21382129154746204,0.34020884448939626,-0.022040101808720125,0.22077602290772497,0.005315184152500257,104.72646669404102,0.5168914638737159,0.14529557863840747,-162.82307750805754,29.03522689874229
two_step,70,1800,70,300,2100,5,1.6328174324294453,1.3704601182867853,2.4779776178554993,0.035,0.5027397868169444,-0.9202874124041064,0.2640103612849608,0.5708681958253411,-1.764666202280223,0.2110052594359864,0.40386915152263964,0.6811853227904396,0.20409738071314512,0.3374909527155447,-0.04838393983749162,0.2195603094068961,0.0039435902516776694,104.88628243811286,0.4449260120171804,0.16625688666602767,-163.71978077662695,31.403387776587202
two_step,100,10,100,30,40,6,1.6603972766168278,1.409985125221568,2.092323483849387,0.0006666666666666666,0.511881041061765,-0.9126019726785514,0.26782364199031444,0.5817410565812325,-1.768488233044777,0.214385320038523,0.418390132755371,0.6677666360830937,0.2094538404286511,0.35475506007087854,-0.047678242909536345,0.22728198996377538,0.004139987194742449,104.87812517707451,0.4559152383752521,0.17017150993975264,-167.03160810702647,31.836676890859362
two_step,100,1800,100,10,1810,7,1.6379847492944264,1.441129656279965,1.8918479973427345,0.030166666666666665,0.514813479902169,-1.0122733050200245,0.26905013188651616,0.583559142559362,-1.857720996683797,0.21495245593204793,0.41480771081663065,0.7319870751283906,0.20813078009410044,0.3832361059745567,-0.09645812223623725,0.24003378948351625,0.0040489629461665,104.7606638105356,0.4508548208447055,0.2065904751363291,-177.78167995710604,35.76375710733548
two_step,70,60,100,60,120,8,1.6264655573882087,1.3919894251420106,1.9706344353849845,0.0019999999999999996,0.5040257450578489,-0.9161428764735746,0.2645458955900954,0.5599476209667221,-1.7664836184183677,0.20762995007950746,0.4379424697877619,0.6780779749185213,0.21669583118008598,0.33901857349317827,-0.022329942724656934,0.2202436272347688,0.0050500636581332125,104.82022798550108,0.5037684428380822,0.1445229155282689,-161.41154114981765,28.946196580690604
two_step,90,900,100,10,910,9,1.6357630830969108,1.4344762631373509,1.8037790552185562,0.015166666666666667,0.5132972591194538,-0.9696175896117657,0.2684157754882,0.5733733617376465,-1.8197559299006292,0.21178229461609424,0.4362631076447381,0.7055602927706719,0.21607231865091606,0.3628533075108257,-0.05834822576364602,0.23090498872106563,0.004659081265840206,104.80335181540913,0.4837796959710614,0.18360451886809942,-169.14868102342226,33.30539277980139
two_step,50,1800,100,600,2400,10,1.6235878955573328,1.3814970194761667,2.350757300676386,0.04,0.4874291399589942,-1.0074321368677273,0.25765615574288614,0.5451414222049109,-1.845145851037101,0.20308381440925508,0.4178123281222205,0.7445609600351393,0.209240371113861,0.36741107325383776,-0.05080753221890528,0.23294478936913962,0.005157141212016615,104.65327610473517,0.5091084851818536,0.17706770784446912,-171.2907722398335,32.59402298538732
two_step,65,1800,100,30,1830,11,1.5894656051363898,1.2335888101774095,3.2198066246581694,0.0305,0.43297801475776404,-0.9216921172372669,0.2353451074768519,0.44815263807584566,-1.7785459816988496,0.17403747534195568,0.41105515971911377,0.6628100986205693,0.20674603635976252,0.3461852505016693,-0.06552269856203037,0.22344902065516284,0.005525906352505362,104.85802520054331,0.5270936727192739,0.09606395474836883,-157.17361726383538,23.012252771259345
two_step,55,1200,75,1800,3000,12,1.594087320788435,1.3758792540427622,2.235067222880606,0.05,0.5042808731968752,-0.9289058450777256,0.2646521778854857,0.5653525300830957,-1.7705013080015481,0.20929807741393022,0.42065060082351435,0.6902010072500925,0.21028924953695638,0.3301422118437255,-0.032402777701507415,0.21627248877332095,0.004698012772639546,104.83383247537432,0.48580620554460374,0.15294196651807698,-161.03252427410865,29.90922511581157
two_step,50,1200,80,10,1210,13,1.5869419317283722,1.1659138590716682,3.676622827694756,0.020166666666666666,0.4193996916038488,-0.8644847605032872,0.22983910674690752,0.4375311383739057,-1.718510681946985,0.17091955716085497,0.39357992480673126,0.6402465437581466,0.20031129076028245,0.3176404995404909,-0.03612136760325381,0.2106749561206429,0.0046836119695739305,104.92872893161771,0.485057565923234,0.05476069454486443,-150.77366418325047,17.010580194916653
two_step,95,100,100,10,110,14,1.6185119949425262,1.4261126037343568,1.6186060378458562,0.0018333333333333333,0.5163233336545127,-0.9254383174766245,0.26968224937979596,0.5804557629013885,-1.7793737494965156,0.21398472349442277,0.4329783302625151,0.6775667964461546,0.21485359813371102,0.35372703705846387,-0.04098672485246726,0.22682215806675823,0.004425695020404852,104.85730080487531,0.47145199729090675,0.16914425980361872,-165.98040481045905,31.723221258167257
two_step,80,1200,80,900,2100,15,1.6035932244911144,1.4307128107200424,1.732336781425599,0.035,0.518033289439104,-0.9847081433727384,0.27039865742692093,0.5926256804687859,-1.8290609699223244,0.21778918238659153,0.4008296339483367,0.7113257644751771,0.2029782011487762,0.3797892913482654,-0.09604925802058242,0.23848869178738624,0.003942428059827838,104.80472816204991,0.4448601876006146,0.20164237156559994,-174.81534507604528,35.23964441641617
two_step,100,10,100,1800,1810,16,1.6024217115842496,1.4542325431484557,1.4862986258538378,0.030166666666666665,0.5192717145141539,-1.0024170031117698,0.2709178556829361,0.5900778498645951,-1.8497387930279243,0.2169905784416931,0.4247828101857684,0.7294484565937246,0.21181759481170273,0.3791514117985325,-0.08076309453297835,0.23820282293990758,0.0041939634863619344,104.75788170388883,0.458890079361389,0.20266701253953395,-176.5834594690276,35.34838710404134
two_step,80,1800,100,10,1810,17,1.5882721172248924,1.3609173874274338,2.146011637201043,0.030166666666666665,0.48444486993074354,-0.9431377484543008,0.2564221766670724,0.5275152484883933,-1.7983937230057292,0.19771484060546793,0.434154941383196,0.6831934344441031,0.2152900175025517,0.3461933315911107,-0.04876038835335499,0.2234526348863732,0.005100892614449287,104.84081674940518,0.5063102026663693,0.1483629373836392,-162.74889967396066,29.38734540906686
two_step,50,600,85,1800,2400,18,1.6123485228330858,1.4132827132346537,1.9922150799869354,0.04,0.5089913574536771,-0.978189334021773,0.26661657929918076,0.5738927149867207,-1.8166427899736013,0.2119435140586916,0.4240338620614887,0.7223233199329053,0.2115404711615811,0.3565125026775337,-0.047624266979316585,0.22806812524164216,0.005073606385262668,104.72777788400838,0.5049472822204484,0.17663221312207072,-167.33596387589714,32.54641144991849
