condition_key,mode,kissinger_r2,kissinger_confidence,T1_C,T2_C,actual_t1_s,actual_t2_s,pred_t1_s,pred_t2_s,abs_log_error_t1,abs_log_error_t2,t1_factor_error,t2_factor_error,top1_time_near_match,top5_time_near_match,top10_time_near_match,posterior_contains_actual_t1,posterior_contains_actual_t2,posterior_width_log10_t1,posterior_width_log10_t2,posterior_n_valid_candidates,loss_flatness_ratio,best_loss,best_target_loss,interpretation_status,target_delta_h_total_J_g,best_pred_delta_h_total_J_g,best_error_delta_h_total_J_g,target_peak_area_J_g,best_pred_peak_area_J_g,best_error_peak_area_J_g,target_activation_enthalpy_H_star_kj_mol,best_pred_activation_enthalpy_H_star_kj_mol,best_error_activation_enthalpy_H_star_kj_mol,target_activation_entropy_S_star_j_mol_K,best_pred_activation_entropy_S_star_j_mol_K,best_error_activation_entropy_S_star_j_mol_K
two_step|50|10|100|1800,two_step,0.9930591716759654,high,50.0,100.0,10.0,1800.0,10.0,600.0,0.0,0.4771212547196626,1.0,3.0,True,True,True,True,False,0.4771212547196624,0.4066847510973899,5,0.7031642319732446,0.2022928893836052,0.18815302776025866,well_constrained,-0.8697079248385762,-0.8336482503540608,0.036059674484515414,-1.8294959836536144,-1.8243827760178786,0.005113207635735861,464.080702165651,478.1977931100586,14.117090944407607,1009.1671352867368,1046.763068281972,37.595932995235216
two_step|50|10|80|1800,two_step,0.9418301279391021,low,50.0,80.0,10.0,1800.0,10.0,10.0,0.0,2.255272505103306,1.0,180.0,False,False,False,True,False,0.7028937514676483,0.7028937514676483,6,0.0002088024207624995,1.9955068774833107,1.9505321379390594,partially_constrained,-1.2671552427696309,-1.1395205268546478,0.1276347159149831,-2.073021479694054,-1.7097668702278015,0.36325460946625254,587.2107401307184,472.06889040313035,-115.14184972758801,1340.5046877972368,1030.4769251523246,-310.0277626449122
two_step|65|10|100|1200,two_step,0.9932904005675028,high,65.0,100.0,10.0,1200.0,10.0,1800.0,0.0,0.17609125905568135,1.0,1.5,True,True,True,True,True,0.3816970037757299,0.44190300290852624,5,0.18851156565090205,0.4920988080764856,0.45977043422951136,well_constrained,-0.8126538499946546,-0.9514670008857058,-0.13881315089105117,-1.8123776797082574,-1.8795881715288913,-0.06721049182063399,472.92829617146856,489.4088825780186,16.48058640655006,1032.564089767893,1077.3241604323143,44.76007066442139
